ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
3	false	false	false	false	false	4805	false
4	false	false	false	false	false	4877	false
5	false	false	false	false	false	4830	false
8	true	false	true	false	true	28529	false
9	true	false	true	false	true	24972	false
11	true	false	false	false	false	35366	false
12	true	false	false	false	false	87929	true
13	true	false	false	false	false	85203	true
24	false	false	false	false	false	9184	false
25	false	false	false	false	false	9386	false
