ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	8135	24
2	true	false	true	true	false	7431	23
3	true	false	true	true	false	7680	22
4	true	false	true	false	true	7564	23
5	true	true	false	false	false	74868	2147483647
6	true	false	true	true	false	7599	21
7	true	false	true	true	false	7373	20
8	true	false	true	true	false	22756	18
9	false	false	false	false	false	32429	2147483647
10	true	false	true	true	false	7488	17
11	true	false	true	true	false	7359	15
12	false	false	false	false	false	21784	2147483647
13	true	false	true	true	false	9158	14
14	true	false	true	true	false	23298	13
15	true	false	true	true	false	17548	12
16	true	false	true	true	false	57001	11
17	true	false	true	false	true	172698	11
18	true	false	true	false	true	89493	18
19	true	true	false	false	false	267752	2147483647
20	false	false	false	false	false	276618	2147483647
21	false	false	false	false	false	151075	2147483647
22	true	false	true	true	false	14723	10
23	false	false	false	false	false	376153	2147483647
24	true	false	true	true	false	16354	9
25	true	true	false	false	false	8369	2147483647
