ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	23089	false
2	true	false	true	true	false	11130	false
3	true	false	true	true	false	32913	false
4	true	false	true	false	true	7194	false
5	true	true	false	false	false	106913	false
6	true	false	true	true	false	39279	false
7	true	false	true	true	false	31723	false
8	false	false	false	false	false	10192	false
9	false	false	false	false	false	9316	false
10	false	false	false	false	false	9929	false
11	false	false	false	false	false	8870	false
12	false	false	false	false	false	8928	false
13	true	false	true	true	false	24683	false
14	true	false	true	true	false	11976	false
15	true	false	true	true	false	22357	false
16	true	true	false	false	false	21881	false
17	true	false	true	true	false	153494	false
18	true	false	true	false	true	93786	false
19	true	true	false	false	false	306952	false
20	false	false	false	false	false	369567	false
21	true	true	false	false	false	327832	false
22	true	false	true	true	false	16939	false
23	false	false	false	false	false	306850	false
24	true	true	false	false	false	29759	false
25	true	true	false	false	false	34468	false
