ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	6781	0	1561	8342	0.024086	openai/gpt-5.1
2	2	819	0	467	1286	0.005694	openai/gpt-5.1
3	3	2974	0	1305	4279	0.016768	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	10	5328	0	2295	7623	0.029610	openai/gpt-5.1
6	2	1040	0	1030	2070	0.011600	openai/gpt-5.1
7	2	2211	0	2583	4794	0.028594	openai/gpt-5.1
8	2	2194	0	1139	3333	0.014133	openai/gpt-5.1
9	2	2209	0	1253	3462	0.015291	openai/gpt-5.1
10	2	1322	0	839	2161	0.010043	openai/gpt-5.1
11	2	1816	0	974	2790	0.012010	openai/gpt-5.1
12	2	1831	0	1098	2929	0.013269	openai/gpt-5.1
13	3	3534	0	1452	4986	0.018938	openai/gpt-5.1
14	1	1040	0	600	1640	0.007300	openai/gpt-5.1
15	3	5047	0	1525	6572	0.021559	openai/gpt-5.1
16	4	3074	0	1856	4930	0.022403	openai/gpt-5.1
17	17	185240	19200	9791	214231	0.331860	openai/gpt-5.1
18	10	118856	0	4476	123332	0.193330	openai/gpt-5.1
19	45	228422	9472	21613	259507	0.502842	openai/gpt-5.1
20	23	329820	0	10647	340467	0.518745	openai/gpt-5.1
21	41	235091	0	20779	255870	0.501654	openai/gpt-5.1
22	4	2797	0	1629	4426	0.019786	openai/gpt-5.1
23	34	282359	6144	16897	305400	0.522687	openai/gpt-5.1
24	6	6314	0	2075	8389	0.028643	openai/gpt-5.1
25	11	10070	0	3550	13620	0.048088	openai/gpt-5.1
