ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	28305	False
2	True	False	True	True	False	15228	False
3	True	False	True	True	False	29900	False
4	True	False	True	False	True	18732	False
5	True	False	True	False	True	135507	False
6	True	False	True	True	False	25373	False
7	True	False	True	True	False	41245	False
8	True	False	True	True	False	31145	False
9	True	False	True	True	False	26292	False
10	True	False	True	True	False	21681	False
11	True	False	True	True	False	21281	False
12	True	False	True	True	False	31275	False
13	True	False	True	True	False	38261	False
14	True	False	True	True	False	13421	False
15	True	False	True	True	False	25289	False
16	True	False	True	True	False	43257	False
17	True	True	False	False	False	159371	False
18	True	False	True	False	True	119427	False
19	True	True	False	False	False	430080	False
20	False	False	False	False	False	850902	False
21	True	True	False	False	False	829421	False
22	True	False	True	True	False	55128	False
23	True	True	False	False	False	92386	False
24	True	False	True	True	False	62737	False
25	True	True	False	False	False	80409	False
