ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	28365	false
2	true	false	true	true	false	14159	false
3	true	false	true	true	false	26609	false
4	true	false	true	false	true	10791	false
5	true	false	true	false	true	176626	false
6	true	false	true	true	false	17668	false
7	true	false	true	true	false	32141	false
8	true	false	true	true	false	19081	false
9	true	false	true	true	false	19303	false
10	true	false	true	true	false	18042	false
11	true	false	true	true	false	18479	false
12	true	false	true	true	false	24780	false
13	true	false	true	true	false	25070	false
14	true	false	true	true	false	22487	false
15	true	false	true	true	false	24814	false
16	true	false	true	true	false	40641	false
17	true	false	true	true	false	138411	false
18	true	false	true	false	true	96209	false
19	true	true	false	false	false	342180	false
20	false	false	false	false	false	499245	false
21	true	true	false	false	false	473772	false
22	true	false	true	true	false	24788	false
23	false	false	false	false	false	462881	false
24	true	false	true	true	false	34506	false
25	true	true	false	false	false	53535	false
