ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	6781	0	1532	8313	0.023796	openai/gpt-5.1
2	2	819	0	502	1321	0.006044	openai/gpt-5.1
3	3	2974	0	1260	4234	0.016318	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	13	7246	0	2929	10175	0.038348	openai/gpt-5.1
6	2	1040	0	753	1793	0.008830	openai/gpt-5.1
7	2	2211	0	2083	4294	0.023594	openai/gpt-5.1
8	2	2194	0	1235	3429	0.015093	openai/gpt-5.1
9	2	2209	0	1143	3352	0.014191	openai/gpt-5.1
10	2	1322	0	821	2143	0.009863	openai/gpt-5.1
11	2	1816	0	896	2712	0.011230	openai/gpt-5.1
12	2	1831	0	976	2807	0.012049	openai/gpt-5.1
13	3	3534	0	1276	4810	0.017178	openai/gpt-5.1
14	1	1040	0	599	1639	0.007290	openai/gpt-5.1
15	3	5047	0	1401	6448	0.020319	openai/gpt-5.1
16	4	3090	0	2456	5546	0.028423	openai/gpt-5.1
17	17	187882	7680	9249	204811	0.328302	openai/gpt-5.1
18	10	118858	0	5031	123889	0.198883	openai/gpt-5.1
19	49	252267	10624	24441	287332	0.561072	openai/gpt-5.1
20	51	855489	26368	29049	910906	1.363147	openai/gpt-5.1
21	50	350864	8192	27676	386732	0.716364	openai/gpt-5.1
22	4	2797	0	1548	4345	0.018976	openai/gpt-5.1
23	51	466249	12672	25155	504076	0.835945	openai/gpt-5.1
24	5	4499	0	1639	6138	0.022014	openai/gpt-5.1
25	11	10068	0	3666	13734	0.049245	openai/gpt-5.1
