ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	118802	24
2	true	false	true	true	false	54353	23
3	true	false	true	true	false	49910	22
4	true	true	false	false	false	242564	2147483647
5	true	false	true	true	false	137141	20
6	true	false	true	true	false	127212	19
7	true	false	true	true	false	71750	18
8	true	false	true	true	false	60490	16
9	true	false	true	false	true	50454	16
10	true	false	true	true	false	65503	15
11	true	false	true	true	false	48010	13
12	true	false	true	false	true	122187	13
13	true	false	true	true	false	57634	12
14	true	false	true	true	false	50313	11
15	true	false	true	true	false	113215	10
16	true	false	true	true	false	56873	9
17	true	false	true	true	false	59454	8
18	true	false	true	true	false	67313	7
19	true	true	false	false	false	130698	2147483647
20	true	false	true	true	false	49721	6
21	true	false	true	true	false	59908	5
22	true	false	true	true	false	80923	4
23	true	false	true	true	false	95557	3
24	true	false	true	true	false	72851	2
25	true	false	true	false	true	56582	14
