ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	true	false	false	false	196086	false
2	true	false	true	true	false	58408	true
3	true	false	true	true	false	46692	false
4	true	false	true	true	false	51035	false
5	true	true	false	false	false	209762	false
6	true	true	false	false	false	168570	false
7	true	false	true	true	false	47651	false
8	true	true	false	false	false	183785	false
9	true	true	false	false	false	190696	false
10	true	false	true	true	false	47140	false
11	true	true	false	false	false	185391	false
12	true	true	false	false	false	219703	false
13	true	false	true	true	false	58307	false
14	true	false	true	true	false	44493	false
15	true	false	true	true	false	45155	false
16	true	false	true	true	false	45467	false
17	true	false	true	true	false	47908	false
18	true	false	true	true	false	57939	true
19	true	true	false	false	false	187813	false
20	true	false	true	true	false	57548	true
21	true	false	true	true	false	43514	false
22	true	false	true	true	false	43526	false
23	true	false	true	true	false	51377	false
24	true	false	true	true	false	73860	false
25	true	false	true	true	false	47437	false
