ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	7894	24
2	true	false	true	true	false	7636	23
3	true	false	true	true	false	7403	22
4	true	false	true	true	false	7416	21
5	true	true	false	false	false	7738	2147483647
6	true	false	true	true	false	7953	20
7	true	false	true	true	false	9535	19
8	true	true	false	false	false	19275	2147483647
9	true	false	true	true	false	23216	17
10	true	false	true	true	false	12383	16
11	true	false	true	true	false	18044	14
12	true	false	true	false	true	41382	14
13	true	false	true	false	true	23631	14
14	true	false	true	true	false	10460	13
15	true	false	true	true	false	19411	12
16	true	false	true	true	false	11371	11
17	true	false	true	true	false	16291	10
18	true	false	true	true	false	51643	9
19	true	false	true	true	false	17263	8
20	true	false	true	true	false	13357	7
21	true	false	true	true	false	11875	6
22	true	false	true	true	false	9916	5
23	true	false	true	true	false	9027	4
24	true	false	true	true	false	11744	3
25	true	false	true	true	false	9384	2
