ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	14583	false
2	true	false	true	true	false	13904	false
3	true	false	true	true	false	16800	false
4	true	false	true	true	false	13918	false
5	true	true	false	false	false	17086	false
6	true	false	true	true	false	13159	false
7	true	false	true	true	false	26491	false
8	true	false	true	true	false	27871	false
9	true	false	true	true	false	33760	false
10	true	false	true	true	false	21097	false
11	true	false	true	true	false	17051	false
12	true	false	true	true	false	20283	false
13	true	false	true	false	true	16974	false
14	true	false	true	true	false	17533	false
15	true	false	true	true	false	15610	false
16	true	false	true	true	false	12799	false
17	true	false	true	true	false	17362	false
18	true	false	true	true	false	17090	true
19	true	false	true	true	false	9893	true
20	true	false	true	true	false	11015	true
21	true	false	true	true	false	14204	false
22	true	false	true	true	false	10497	false
23	true	false	true	true	false	9899	false
24	true	false	true	true	false	15082	false
25	true	false	true	true	false	25912	false
