ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	739	0	455	1194	0.005474	openai/gpt-5.1
2	1	390	0	188	578	0.002368	openai/gpt-5.1
3	1	647	0	505	1152	0.005859	openai/gpt-5.1
4	1	499	0	129	628	0.001914	openai/gpt-5.1
5	1	535	0	86	621	0.001529	openai/gpt-5.1
6	1	537	0	312	849	0.003791	openai/gpt-5.1
7	1	969	0	788	1757	0.009091	openai/gpt-5.1
8	1	994	0	1132	2126	0.012563	openai/gpt-5.1
9	1	966	0	823	1789	0.009438	openai/gpt-5.1
10	1	575	0	367	942	0.004389	openai/gpt-5.1
11	1	798	0	618	1416	0.007178	openai/gpt-5.1
12	1	786	0	618	1404	0.007163	openai/gpt-5.1
13	1	898	0	616	1514	0.007283	openai/gpt-5.1
14	1	900	0	620	1520	0.007325	openai/gpt-5.1
15	1	817	0	521	1338	0.006231	openai/gpt-5.1
16	1	574	0	190	764	0.002618	openai/gpt-5.1
17	1	387	0	73	460	0.001214	openai/gpt-5.1
18	1	365	0	63	428	0.001086	openai/gpt-5.1
19	1	371	0	81	452	0.001274	openai/gpt-5.1
20	1	324	0	51	375	0.000915	openai/gpt-5.1
21	1	335	0	48	383	0.000899	openai/gpt-5.1
22	1	358	0	65	423	0.001098	openai/gpt-5.1
23	1	365	0	52	417	0.000976	openai/gpt-5.1
24	1	533	0	212	745	0.002786	openai/gpt-5.1
25	1	301	0	83	384	0.001206	openai/gpt-5.1
