ID	TYPE	Message	EXPRESSION	PATH	HASH
2	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverConfig (line 106) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public RateLimitingFilter() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java:113	f2e65438862317e8c31e1e274410a80eb39f2ed2
3	DEREFERENCE_NULLABLE	dereferenced expression serverConfig is @Nullable	    if (serverConfig.shouldLogIdentityHeaders()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java:61	1f655c8248bcd72be02c3b7aaf4861e232b79ad4
4	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	      resourceRecordSetWithHostedZone	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	63b0197c32292d839f6259236882c1bc07e9facb
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return resourceRecordSet;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:353	44f1ca507f4aed91bb45b26eb328064a73aa1721
6	DEREFERENCE_NULLABLE	dereferenced expression taskExecutor is @Nullable	    taskExecutor.shutdown();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java:112	de81c83318baa08fb5cc2232f4a90d1ebf470457
7	DEREFERENCE_NULLABLE	dereferenced expression e.getMessage() is @Nullable	        String message = e.getMessage().toLowerCase();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/ReplicationTaskProcessor.java:216	a88268b8217acb446447825fd9c372635fe0e0b7
8	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 105), id (line 106), lastDirtyTimestamp (line 107), instanceInfo (line 110), action (line 111) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    private ReplicationInstanceBuilder() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java:112	7cabf0e75fdb1d446c7bfbce1da7221922d308af
10	DEREFERENCE_NULLABLE	dereferenced expression applications is @Nullable	          for (Application application : applications.getRegisteredApplications()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:954	1b9f5f6fe31c80948a4e7b3354c817ebd6b5c5fe
11	DEREFERENCE_NULLABLE	enhanced-for expression remoteRegions is @Nullable	      for (String remoteRegion : remoteRegions) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:811	c36577a1a0190b5c7744cab9237c9ad0ab610ac1
13	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	              overriddenInstanceStatus.name(),	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	b2098e5bb9dc4e491ddc11b8336484739986a6f6
