ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	7416	31
2	true	false	true	true	false	9068	23
3	true	false	true	true	false	47268	22
4	true	false	true	true	false	17312	21
5	true	false	true	true	false	43848	20
6	true	false	true	true	false	36142	19
7	true	false	true	true	false	10515	18
8	true	false	true	true	false	13473	17
9	true	false	true	false	true	243359	17
10	true	false	true	true	false	8800	16
11	true	false	true	true	false	7517	15
12	true	false	true	false	true	66420	17
13	true	false	true	true	false	14655	14
14	true	false	true	true	false	15160	13
15	true	false	true	true	false	9972	12
16	true	false	true	true	false	20833	11
17	true	false	true	true	false	16673	10
18	true	false	true	true	false	98223	9
19	true	false	true	true	false	5430	8
20	true	false	true	true	false	5207	7
21	true	false	true	true	false	6033	6
22	true	false	true	true	false	5354	5
23	true	false	true	true	false	15695	4
24	true	false	true	true	false	5175	3
