ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	181990	false
2	true	false	true	true	false	7700	false
3	true	false	true	true	false	28967	false
4	true	false	true	true	false	37314	false
5	true	false	true	false	true	89708	false
6	true	false	true	true	false	30669	false
7	true	false	true	true	false	20030	false
8	true	false	true	true	false	41278	false
9	true	true	false	false	false	326405	false
10	true	false	true	true	false	38788	false
11	true	false	true	true	false	16375	false
12	true	false	true	false	true	137027	false
13	true	false	true	true	false	119286	false
14	true	false	true	true	false	8996	false
15	true	false	true	true	false	10590	false
16	true	false	true	true	false	69036	false
17	true	false	true	true	false	27019	false
18	true	false	true	true	false	287001	false
19	true	false	true	true	false	24816	false
20	true	false	true	false	true	42381	false
21	true	false	true	true	false	19873	false
22	true	false	true	false	true	20892	false
23	true	false	true	true	false	24029	true
24	true	false	true	true	false	21125	false
