ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	False	True	181990	False
2	True	False	True	True	False	7700	False
3	True	False	True	True	False	28967	False
4	True	False	True	True	False	37314	False
5	True	False	True	False	True	89708	False
6	True	False	True	True	False	30669	False
7	True	False	True	True	False	20030	False
8	True	False	True	True	False	41278	False
9	True	True	False	False	False	326405	False
10	True	False	True	True	False	38788	False
11	True	False	True	True	False	16375	False
12	True	False	True	False	True	137027	False
13	True	False	True	True	False	119286	False
14	True	False	True	True	False	8996	False
15	True	False	True	True	False	10590	False
16	True	False	True	True	False	69036	False
17	True	False	True	True	False	27019	False
18	True	False	True	True	False	287001	False
19	True	False	True	True	False	24816	False
20	True	False	True	True	False	42381	False
21	True	False	True	True	False	19873	False
22	True	False	True	True	False	20892	False
23	True	False	True	True	False	24029	True
24	True	False	True	True	False	21125	False
