ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	28	15022	0	8013	23035	0.098908	openai/gpt-5.1
2	1	545	0	188	733	0.002561	openai/gpt-5.1
3	2	930	0	594	1524	0.007103	openai/gpt-5.1
4	4	3477	0	1198	4675	0.016326	openai/gpt-5.1
5	10	8466	0	5599	14065	0.066573	openai/gpt-5.1
6	2	1063	0	499	1562	0.006319	openai/gpt-5.1
7	3	2392	0	722	3114	0.010210	openai/gpt-5.1
8	15	7698	0	1773	9471	0.027353	openai/gpt-5.1
9	33	25117	0	15116	40233	0.182556	openai/gpt-5.1
10	2	1562	0	909	2471	0.011042	openai/gpt-5.1
11	2	1773	0	1049	2822	0.012706	openai/gpt-5.1
12	12	9350	0	4409	13759	0.055778	openai/gpt-5.1
13	6	9480	0	2696	12176	0.038810	openai/gpt-5.1
14	1	575	0	211	786	0.002829	openai/gpt-5.1
15	1	735	0	332	1067	0.004239	openai/gpt-5.1
16	4	2781	0	1658	4439	0.020056	openai/gpt-5.1
17	3	2815	0	666	3481	0.010179	openai/gpt-5.1
18	31	68855	1280	13642	83777	0.222649	openai/gpt-5.1
19	3	1630	0	733	2363	0.009368	openai/gpt-5.1
20	3	2190	0	1712	3902	0.019858	openai/gpt-5.1
21	2	1675	0	861	2536	0.010704	openai/gpt-5.1
22	2	1665	0	806	2471	0.010141	openai/gpt-5.1
23	2	671	0	510	1181	0.005939	openai/gpt-5.1
24	2	919	0	901	1820	0.010159	openai/gpt-5.1
