ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	false	false	false	false	false	72935	false
2	true	false	true	true	false	7006	false
3	true	false	true	true	false	19057	false
4	true	false	true	true	false	17809	false
5	true	false	true	true	false	31397	false
6	true	false	true	true	false	18546	false
7	true	false	true	true	false	10609	false
8	true	false	true	true	false	28849	false
9	true	false	true	true	false	204889	false
10	true	false	true	true	false	22634	false
11	true	false	true	true	false	10615	false
12	true	false	true	true	false	7356	false
13	true	false	true	true	false	32073	false
14	true	false	true	true	false	6956	false
15	true	false	true	true	false	7844	false
16	true	false	true	true	false	17702	false
17	true	false	true	true	false	10441	false
18	true	false	true	true	false	90032	false
19	true	false	true	true	false	11283	false
20	true	false	true	false	true	10247	false
21	true	false	true	true	false	10060	false
22	true	false	true	true	false	12113	false
23	true	false	true	true	false	18153	true
24	false	false	false	false	false	8931	false
