ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS
1	14	13845	0	3621	17466	0.070823
2	1	543	0	89	632	0.002248
3	2	863	0	238	1101	0.004538
4	4	3314	0	452	3766	0.012805
5	10	8240	0	1494	9734	0.035540
6	2	996	0	239	1235	0.004880
7	3	2266	0	317	2583	0.008835
8	15	6174	0	1453	7627	0.029965
9	34	26019	0	10261	36280	0.167658
10	4	4977	0	835	5812	0.020793
11	2	1743	0	637	2380	0.010728
12	1	440	0	61	501	0.001710
13	8	9403	3072	1410	13885	0.041448
14	1	573	0	65	638	0.002083
15	1	584	0	326	910	0.004720
16	4	2692	0	1089	3781	0.017620
17	3	2687	0	311	2998	0.009828
18	30	58588	5120	5884	69592	0.211710
19	3	1506	0	404	1910	0.007805
20	2	1227	0	363	1590	0.006698
21	2	1633	0	529	2162	0.009373
22	3	2436	0	625	3061	0.012340
23	2	604	0	173	777	0.003240
24	1	372	0	68	440	0.001610
