ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	39771	true
2	true	false	true	true	false	18544	true
3	true	false	true	true	false	39852	false
4	true	false	true	true	false	8373	true
5	true	false	true	true	false	20562	false
6	true	false	true	true	false	6809	true
7	true	false	true	true	false	38140	false
8	true	false	true	false	true	202618	false
9	true	false	true	true	false	16942	false
10	true	false	true	true	false	12608	false
11	true	false	true	true	false	31890	false
12	true	false	true	false	true	69957	false
13	true	true	false	false	false	15422	false
14	true	false	true	true	false	15881	false
15	true	false	true	true	false	30198	false
16	true	false	true	true	false	7975	true
17	true	false	true	true	false	14782	true
18	true	false	true	true	false	14643	false
19	true	false	true	true	false	64552	false
20	true	true	false	false	false	256470	false
21	true	false	true	true	false	21321	true
22	true	true	false	false	false	102287	false
23	false	false	false	false	false	7908	false
24	true	false	true	true	false	20015	true
