ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS
1	15	6147	0	1765	7912	0.025334
2	2	602	0	127	729	0.002023
3	6	7425	1792	2172	11389	0.031225
4	1	583	0	333	916	0.004059
5	4	2837	0	1251	4088	0.016056
6	1	542	0	86	628	0.001538
7	5	4808	0	1554	6362	0.021550
8	31	66245	3712	12356	82313	0.206830
9	3	2433	0	950	3383	0.012541
10	2	1681	0	594	2275	0.008041
11	2	1819	0	728	2547	0.009554
12	12	8083	0	3807	11890	0.048174
13	2	861	0	433	1294	0.005406
14	3	456	1920	910	3286	0.009910
15	4	4973	0	1154	6127	0.017756
16	1	572	0	202	774	0.002735
17	3	1503	0	546	2049	0.007339
18	3	2714	0	628	3342	0.009673
19	10	9336	0	3764	13100	0.049310
20	33	27886	0	11835	39721	0.153208
21	2	994	0	331	1325	0.004553
22	28	15052	0	5909	20961	0.077905
23	1	371	0	174	545	0.002204
24	3	1721	0	872	2593	0.010871
