ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	5420	false
2	true	false	true	true	false	15088	false
3	true	false	true	true	false	11251	false
4	true	false	true	true	false	5183	false
5	true	false	true	true	false	5091	false
6	true	false	true	true	false	4996	false
7	true	false	true	true	false	10258	false
8	true	false	true	false	true	10014	false
9	true	false	true	true	false	10881	false
10	true	false	true	true	false	5064	false
11	true	false	true	true	false	5095	false
12	true	false	true	false	true	26135	false
13	true	true	false	false	false	15422	false
14	true	false	true	true	false	15881	false
15	true	false	true	true	false	30198	false
16	true	false	true	true	false	7975	true
17	true	false	true	true	false	14782	true
18	true	false	true	true	false	14643	false
19	true	false	true	true	false	64552	false
20	true	true	false	false	false	256470	false
21	true	false	true	true	false	21321	true
22	true	true	false	false	false	102287	false
23	false	false	false	false	false	7908	false
24	true	false	true	true	false	20015	true
