ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS
1	15	0	0	0	0	0.000000
2	2	0	0	0	0	0.000000
3	6	0	0	0	0	0.000000
4	1	0	0	0	0	0.000000
5	4	0	0	0	0	0.000000
6	1	0	0	0	0	0.000000
7	5	0	0	0	0	0.000000
8	31	0	0	0	0	0.000000
9	3	916	0	341	1257	0.004555
10	2	0	0	0	0	0.000000
11	2	0	0	0	0	0.000000
12	12	0	0	0	0	0.000000
13	2	0	0	0	0	0.000000
14	3	456	1920	910	3286	0.009910
15	4	4973	0	1154	6127	0.017756
16	1	572	0	202	774	0.002735
17	3	1503	0	546	2049	0.007339
18	3	2714	0	628	3342	0.009673
19	10	9336	0	3764	13100	0.049310
20	33	27886	0	11835	39721	0.153208
21	2	994	0	331	1325	0.004553
22	28	15052	0	5909	20961	0.077905
23	1	371	0	174	545	0.002204
24	3	1721	0	872	2593	0.010871
