ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	47664	23
2	true	false	true	true	false	328590	22
3	true	false	true	true	false	75804	21
4	true	false	true	true	false	84981	20
5	true	false	true	false	true	141781	22
6	true	false	true	true	false	74059	19
7	true	false	true	true	false	34626	18
8	true	false	true	true	false	99592	17
9	true	false	true	true	false	37004	16
10	true	false	true	true	false	92157	15
11	true	false	true	true	false	62151	14
12	true	false	true	true	false	42078	13
13	true	false	true	true	false	60021	12
14	true	true	false	false	false	178171	2147483647
15	true	false	true	true	false	73100	11
16	true	false	true	true	false	72710	10
17	true	false	true	true	false	60127	9
18	true	false	true	true	false	156047	7
19	false	false	false	false	false	40165	2147483647
20	true	false	true	true	false	56445	6
21	true	false	true	true	false	58205	5
22	true	false	true	true	false	42563	4
23	true	false	true	true	false	47535	3
24	true	false	true	true	false	43540	2
