ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	44794	false
2	true	false	true	true	false	235756	true
3	true	false	true	true	false	67907	false
4	true	false	true	true	false	54695	false
5	true	true	false	false	false	122378	false
6	true	false	true	true	false	71691	false
7	true	false	true	true	false	38353	false
8	true	false	true	true	false	99382	true
9	true	false	true	true	false	66940	false
10	true	false	true	true	false	96864	false
11	true	false	true	true	false	80440	false
12	true	false	true	false	true	47469	false
13	true	false	true	true	false	64164	false
14	true	false	true	true	false	121366	false
15	true	false	true	true	false	36862	false
16	true	false	true	true	false	183866	false
17	true	false	true	false	true	38336	false
18	true	false	true	true	false	53019	false
19	true	false	true	true	false	76942	false
20	true	false	true	true	false	43087	false
21	true	false	true	true	false	71904	false
22	true	false	true	true	false	94239	false
23	true	false	true	true	false	45224	true
24	true	false	true	true	false	35713	false
