ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	44794	False
2	True	False	True	True	False	235756	True
3	True	False	True	True	False	67907	False
4	True	False	True	True	False	54695	False
5	True	True	False	False	False	122378	False
6	True	False	True	True	False	71691	False
7	True	False	True	True	False	38353	False
8	True	False	True	True	False	99382	True
9	True	False	True	True	False	66940	False
10	True	False	True	True	False	96864	False
11	True	False	True	True	False	80440	False
12	True	False	True	False	True	47469	False
13	True	False	True	True	False	64164	False
14	True	False	True	True	False	121366	False
15	True	False	True	True	False	36862	False
16	True	False	True	True	False	183866	False
17	True	False	True	False	True	38336	False
18	True	False	True	True	False	53019	False
19	True	False	True	True	False	76942	False
20	True	False	True	True	False	43087	False
21	True	False	True	True	False	71904	False
22	True	False	True	True	False	94239	False
23	True	False	True	True	False	45224	True
24	True	False	True	True	False	35713	False
