ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	189946	true
2	true	false	true	false	40134	true
3	true	false	true	false	37359	false
4	true	true	false	false	133798	false
5	true	true	false	false	165470	false
6	true	false	true	false	72242	false
7	true	true	false	false	166966	false
8	true	false	true	false	23700	false
9	true	true	false	false	136327	false
10	true	false	true	false	48336	false
11	true	true	false	false	185149	false
12	true	false	true	false	38480	true
13	true	false	true	false	45770	false
14	true	true	false	false	23978	false
15	true	false	true	false	36759	false
16	true	false	true	false	164469	true
17	true	false	true	false	28705	false
18	true	false	true	false	42470	false
19	true	false	true	false	51838	false
20	true	false	true	false	35308	false
21	true	false	true	false	40552	false
22	true	false	true	false	38010	false
23	true	false	true	false	87407	false
24	true	true	false	false	39174	false
