ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	45901	false
2	true	false	true	true	false	38066	true
3	true	false	true	true	false	58201	false
4	true	false	true	true	false	36401	false
5	true	false	true	true	false	48350	false
6	true	false	true	true	false	69566	false
7	true	false	true	true	false	45831	false
8	true	false	true	true	false	50342	false
9	true	false	true	true	false	59830	false
10	true	true	false	false	false	95931	false
11	true	false	true	true	false	79104	true
12	true	false	true	true	false	53361	false
13	true	false	true	true	false	68901	false
14	true	false	true	true	false	36272	false
15	true	false	true	true	false	46270	false
16	false	false	false	false	false	148046	false
17	true	false	true	true	false	85564	false
18	true	false	true	true	false	25996	false
19	true	false	true	true	false	34123	false
20	true	false	true	false	true	43027	false
21	true	false	true	true	false	38073	false
22	true	false	true	true	false	45507	false
23	true	false	true	true	false	37872	false
24	true	false	true	true	false	58299	false
