ID	TYPE	Message	EXPRESSION	PATH	HASH
1	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 105), id (line 106), lastDirtyTimestamp (line 107), instanceInfo (line 110), action (line 111) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    private ReplicationInstanceBuilder() {}	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java:112	8efd214f2fb3f49a5c420427a5fea984b22f097c
2	DEREFERENCE_NULLABLE	dereferenced expression isHeathly is @Nullable	    return isHeathly.booleanValue();	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/util/StatusInfo.java:98	a27bfd994faecd145ec964387455214fa70f7048
3	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	              overriddenInstanceStatus.name(),	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	fa4980971e734cb8c7371a8d982d7914e2ff59cb
4	PASS_NULLABLE	passing @Nullable parameter 'info' where @NonNull is required	          node.register(info);	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java:679	09db33f563b8619f1bf8220ad48f3d153b8f49de
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.eurekaHttpClient = newEurekaHttpClient;	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:167	ec51bad9d23f84a709f14c6003d9dd30da2ed2b4
6	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverConfig (line 106) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public RateLimitingFilter() {}	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java:113	93076339ce5154671f485cbe7449ecc0bab545e0
7	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	      resourceRecordSetWithHostedZone	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	2da007d125a99714b3695795e0b503fec499bf01
8	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return applications.get();	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:512	c576dc46fe7101bddcc0c697c67d58f3d92d88b9
9	DEREFERENCE_NULLABLE	dereferenced expression regionsStr is @Nullable	      regions = regionsStr.toLowerCase().split(",");	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/resources/ApplicationsResource.java:126	5ae15a14b8935c9501e340987e9978db419b974d
10	DEREFERENCE_NULLABLE	dereferenced expression regionsStr is @Nullable	      regions = regionsStr.toLowerCase().split(",");	/home/joos/projects/nullrepair/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/resources/ApplicationsResource.java:218	d534cfa970b34db34ba4f4ae03c1e5e3b05c8ce5
