ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	166218	true
2	true	false	true	true	false	45123	true
3	true	false	true	true	false	53456	false
4	true	false	true	true	false	33811	false
5	true	false	true	true	false	58829	false
6	true	true	false	false	false	120530	false
7	true	false	true	false	true	107277	false
8	true	false	true	true	false	94800	false
9	true	false	true	true	false	201693	false
10	true	false	true	true	false	40513	false
