ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return holder;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	5721aa083059c276e2f2db141e6ff5cbe9413759
2	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverConfig (line 106) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public RateLimitingFilter() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java:113	b116ebc17a7bf438720aa37ff34207c9ebb25209
3	DEREFERENCE_NULLABLE	dereferenced expression serverConfig is @Nullable	    if (serverConfig.shouldLogIdentityHeaders()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java:61	9f42f1e1358b9299fd92687d382e5b1b624c8cdd
4	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	      resourceRecordSetWithHostedZone	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	6b2cbb3a8ce323d57f301ba05186284555aa5b4a
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return resourceRecordSet;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:353	8a96d4b978dbc22a01cac1962b3cc7bfd2246aca
6	DEREFERENCE_NULLABLE	dereferenced expression taskExecutor is @Nullable	    taskExecutor.shutdown();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java:112	17774de61f81db47e8544ddd0efc16abe252ef34
7	DEREFERENCE_NULLABLE	dereferenced expression e.getMessage() is @Nullable	        String message = e.getMessage().toLowerCase();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/ReplicationTaskProcessor.java:216	f28b16701b8c54f708938fb4e9b662dd3c90f15a
8	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 105), id (line 106), lastDirtyTimestamp (line 107), instanceInfo (line 110), action (line 111) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    private ReplicationInstanceBuilder() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java:112	1643c193e239d53c55007f5c05a3c983c887bb58
9	METHOD_NO_INIT	initializer method does not guarantee @NonNull field responseCache (line 111) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  protected AbstractInstanceRegistry(	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:113	cad6ef4cc6c3671b9911de5cbe283df932f002d1
10	DEREFERENCE_NULLABLE	dereferenced expression applications is @Nullable	          for (Application application : applications.getRegisteredApplications()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:954	94d02317e40e1e85d098a6c8af5e9f71e8a30c0b
11	DEREFERENCE_NULLABLE	enhanced-for expression remoteRegions is @Nullable	      for (String remoteRegion : remoteRegions) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:811	8107ce22476eec4ae7c6fdefc161cf6cd5863954
12	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:1099	5114d6197deaf1cee5e171e4e9e9c0631d83bdc8
13	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	              overriddenInstanceStatus.name(),	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	886f10dd0015bbbbbec36f65f18c2b8f8616ae3d
