ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	7013	23
2	true	false	true	true	false	14073	22
3	true	false	true	true	false	8367	21
4	true	false	true	true	false	6720	20
5	true	false	true	true	false	12516	19
6	true	false	true	true	false	6204	18
7	true	false	true	true	false	7644	17
8	true	false	false	false	true	13242	19
9	true	false	true	true	false	7917	16
10	true	false	true	true	false	12553	15
11	true	false	true	true	false	10067	14
12	true	false	true	true	false	14165	13
13	true	false	true	true	false	11983	12
14	true	true	false	false	false	8225	2147483647
15	true	false	true	true	false	12122	11
16	true	false	true	true	false	7550	10
17	true	false	true	false	true	9343	10
18	true	false	true	true	false	12552	9
19	true	false	true	true	false	9165	8
20	true	false	true	false	true	26576	8
21	true	false	true	false	true	10302	8
22	true	false	true	true	false	9202	7
23	true	false	true	true	false	9100	6
24	true	false	true	true	false	7215	5
