ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return holder;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	577b3622e25ccdbf3ee05cdbc003697d1b280831
2	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverConfig (line 106) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public RateLimitingFilter() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java:113	81b1056cf8f2436e38eee8046b4f71da3eb09a26
3	DEREFERENCE_NULLABLE	dereferenced expression serverConfig is @Nullable	    if (serverConfig.shouldLogIdentityHeaders()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java:61	42db4585b193baf9984ef45058d5b267160c5e6e
4	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	      resourceRecordSetWithHostedZone	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	07a4d567fa5f0eed2b3c735079cc18228bda0052
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return resourceRecordSet;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:353	630d202bb29adbbc00ff25bfb771a8c6cd029e43
6	DEREFERENCE_NULLABLE	dereferenced expression taskExecutor is @Nullable	    taskExecutor.shutdown();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java:112	694752b27976aa3b93ebcb065178b66c2950f1fb
7	DEREFERENCE_NULLABLE	dereferenced expression e.getMessage() is @Nullable	        String message = e.getMessage().toLowerCase();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/ReplicationTaskProcessor.java:216	ca2c32ca77919017edd9ac90570f024c94f30e7c
8	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 105), id (line 106), lastDirtyTimestamp (line 107), instanceInfo (line 110), action (line 111) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    private ReplicationInstanceBuilder() {}	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java:112	34fac8a915a071f2811a302aab4521da5f2cac35
9	METHOD_NO_INIT	initializer method does not guarantee @NonNull field responseCache (line 111) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  protected AbstractInstanceRegistry(	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:113	58e37bf867db07108498aca440fabbc6347bb4c8
10	DEREFERENCE_NULLABLE	dereferenced expression applications is @Nullable	          for (Application application : applications.getRegisteredApplications()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:954	acca7e80978aaed4835831dbde31f146e8146a5a
11	DEREFERENCE_NULLABLE	enhanced-for expression remoteRegions is @Nullable	      for (String remoteRegion : remoteRegions) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:811	6cc5477f8d6b6fdb34b51ccb95e007baab863c4c
12	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:1099	c286d567245b4df9e5c898bab4fe9b54e6407f39
13	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	              overriddenInstanceStatus.name(),	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	49a5aabcf851c039e82620b23718567900b45d28
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull field peerEurekaNodes (line 119) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  @Inject	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java:124	1de9dda1613181b403c837d8de274eaaf3c92c55
15	PASS_NULLABLE	passing @Nullable parameter 'info' where @NonNull is required	          node.register(info);	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java:679	da906e274eba8683ba8a1b9c5356e49d367a46a7
16	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.eurekaHttpClient = newEurekaHttpClient;	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:167	3be4816c137cc9deec080dadd7bf469c18ebf661
17	DEREFERENCE_NULLABLE	dereferenced expression this.applications.get() is @Nullable	    return this.applications.get().getRegisteredApplications(appName);	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:523	941a79c0c3f6ba69ef2f7063122fe31a42f49f01
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return applications.get();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:512	be25d8c6a53d885db814ad1bb5ccd2b9efeb6ef9
19	DEREFERENCE_NULLABLE	dereferenced expression applications.get() is @Nullable	    for (Application app : applications.get().getRegisteredApplications()) {	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java:530	99bd54c437009634aeb2f09ef533a1d905457189
20	DEREFERENCE_NULLABLE	dereferenced expression existingLease is @Nullable	            existingLease.getHolder().getStatus().name(),	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/rule/LeaseExistsRule.java:36	3952eb9992cc4b76519c4d821e207689d05899ae
21	DEREFERENCE_NULLABLE	dereferenced expression regionsStr is @Nullable	      regions = regionsStr.toLowerCase().split(",");	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/resources/ApplicationsResource.java:218	c656e6130d0cf1160e3101f52ca2c9a45e05f05d
22	DEREFERENCE_NULLABLE	dereferenced expression regionsStr is @Nullable	      regions = regionsStr.toLowerCase().split(",");	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/resources/ApplicationsResource.java:126	696a178f393035c4c6854020b5d0b6ae6d048c23
23	DEREFERENCE_NULLABLE	dereferenced expression isHeathly is @Nullable	    return isHeathly.booleanValue();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/util/StatusInfo.java:98	505a5db9908ea0f443a16b64269bcef253ffcf0a
24	DEREFERENCE_NULLABLE	dereferenced expression nextHolder is @Nullable	      long delay = System.currentTimeMillis() - nextHolder.getSubmitTimestamp();	/home/vscode/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/util/batcher/AcceptorExecutor.java:363	7d21f5e7a33a7191846ef8de68f1ec9264a0f28d
