ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	9943	false
2	true	false	true	true	false	11458	false
3	true	false	true	true	false	10039	false
4	true	false	true	true	false	23141	false
5	true	false	true	true	false	9248	false
6	true	false	true	true	false	13461	false
7	true	false	true	true	false	9707	false
8	true	false	false	false	true	9812	false
9	true	false	true	true	false	9195	false
10	true	false	true	true	false	10824	false
11	true	false	true	true	false	11126	false
12	false	false	false	false	false	10968	false
13	true	false	true	true	false	10236	false
14	true	true	false	false	false	11204	false
15	true	false	true	true	false	10668	false
16	true	false	true	true	false	12647	false
17	true	false	true	false	true	8475	false
18	true	false	true	true	false	7368	true
19	true	false	true	true	false	11179	false
20	true	false	true	false	true	11574	false
21	true	false	true	false	true	8775	false
22	true	false	true	true	false	12156	false
23	true	false	true	true	false	7969	true
24	true	false	true	true	false	9718	false
