ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	291	0	84	375	0.001204	openai/gpt-5.1
2	1	462	0	73	535	0.001308	openai/gpt-5.1
3	1	450	0	158	608	0.002143	openai/gpt-5.1
4	1	479	0	181	660	0.002409	openai/gpt-5.1
5	1	305	0	85	390	0.001231	openai/gpt-5.1
6	1	447	0	140	587	0.001959	openai/gpt-5.1
7	1	491	0	186	677	0.002474	openai/gpt-5.1
8	1	515	0	85	600	0.001494	openai/gpt-5.1
9	1	623	0	220	843	0.002979	openai/gpt-5.1
10	1	623	0	472	1095	0.005499	openai/gpt-5.1
11	1	715	0	589	1304	0.006784	openai/gpt-5.1
12	1	1664	0	504	2168	0.007120	openai/gpt-5.1
13	1	644	0	396	1040	0.004765	openai/gpt-5.1
14	1	567	0	232	799	0.003029	openai/gpt-5.1
15	1	565	0	337	902	0.004076	openai/gpt-5.1
16	1	1285	0	1050	2335	0.012106	openai/gpt-5.1
17	1	435	0	92	527	0.001464	openai/gpt-5.1
18	1	446	0	86	532	0.001418	openai/gpt-5.1
19	1	418	0	150	568	0.002023	openai/gpt-5.1
20	1	466	0	271	737	0.003293	openai/gpt-5.1
21	1	707	0	524	1231	0.006124	openai/gpt-5.1
22	1	788	0	524	1312	0.006225	openai/gpt-5.1
23	1	416	0	66	482	0.001180	openai/gpt-5.1
24	1	336	0	168	504	0.002100	openai/gpt-5.1
