ID	TYPE	Message	EXPRESSION	PATH	HASH
2	PASS_NULLABLE	passing @Nullable parameter 'context' where @NonNull is required	    return Glide.get(context).getRequestManagerRetriever();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java:518	aa27954de2d2cb1a5ac612be64fdb86299929462
3	DEREFERENCE_NULLABLE	dereferenced expression errorBuilder is @Nullable	    int errorOverrideWidth = errorBuilder.getOverrideWidth();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:1123	ec940e1b46692def3042e642e809ded5b40532cb
4	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	        previous.begin();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:851	187f067135b848e0a342fc306cfbec7593d2c172
5	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	    return !options.isMemoryCacheable() && previous.isComplete();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:870	f575c9226ec193ffa595980d87c075e28e4b4681
6	METHOD_NO_INIT	initializer method does not guarantee @NonNull field requestOptions (line 93) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  @SuppressWarnings("PMD.ConstructorCallsOverridableMethod")	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestManager.java:114	2c6e3410810e04b29976046f7fabb0d751fde69d
7	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      buffer = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/data/BufferedOutputStream.java:97	54d83eacfa376068deb8b545ae26569ab2a72023
8	DEREFERENCE_NULLABLE	dereferenced expression listener is @Nullable	    listener.onResourceReleased(ref.key, newResource);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/ActiveResources.java:123	ba6d9912156d3a0185419a44cbf84689598f5894
9	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	    return modelLoaderIndex < modelLoaders.size();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	d78997b5cced1f77008b773721a735d9b51f4ac8
10	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	    cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	27d1db5122372a4efbf6125555758824d9a6619c
13	DEREFERENCE_NULLABLE	dereferenced expression encoder is @Nullable	    return encoder.encode(data, file, options);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheWriter.java:30	2bb68c63fd3f29eac5d124c0f17fa1190b96a038
