ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	37964	89
2	true	false	true	true	false	11423	86
3	true	false	true	true	false	14493	85
4	true	false	true	true	false	10299	84
5	true	false	true	true	false	21130	83
6	true	false	true	true	false	25753	82
7	true	false	true	true	false	7671	81
8	true	false	true	true	false	32513	80
9	true	false	true	true	false	27482	78
10	true	false	true	true	false	35298	76
11	true	false	true	false	true	15525	76
12	true	false	true	false	true	9296	76
13	true	false	true	true	false	15828	75
14	true	false	false	false	false	9259	75
15	true	false	true	false	true	9241	75
16	true	false	true	true	false	5146	74
17	true	false	true	true	false	13127	73
18	true	false	true	false	true	5564	76
19	true	false	true	true	false	6831	72
20	true	false	true	false	true	12550	72
21	true	false	true	false	true	71752	92
22	true	false	true	true	false	15875	71
23	true	false	true	true	false	4926	70
24	true	false	true	true	false	23422	69
25	true	false	true	true	false	14861	66
26	true	false	true	true	false	7578	65
27	false	false	false	false	false	4494	2147483647
28	true	false	true	true	false	9780	64
29	true	false	true	false	true	5440	65
30	true	false	true	false	true	35180	64
31	false	false	false	false	false	11084	2147483647
32	true	false	true	false	true	6231	65
33	true	false	true	false	true	4586	67
34	true	false	true	true	false	16589	63
35	true	false	true	false	true	4650	64
36	true	false	true	false	true	12604	63
37	true	false	true	true	false	13500	62
38	true	false	true	true	false	5361	60
39	true	false	true	false	true	5086	62
40	true	false	true	false	true	26004	60
41	true	false	true	true	false	17742	59
42	true	false	true	true	false	15582	58
43	true	true	false	false	false	4961	2147483647
44	true	true	false	false	false	5028	2147483647
45	true	false	true	true	false	20704	56
46	true	false	true	true	false	23856	54
47	false	false	false	false	false	18451	2147483647
48	true	false	true	false	true	13394	54
49	true	false	true	true	false	59875	53
50	true	false	true	false	true	63548	53
51	true	false	true	true	false	4470	52
52	true	false	true	true	false	4323	51
53	true	false	true	true	false	4250	50
54	true	false	true	true	false	5577	49
55	true	false	true	true	false	4460	48
56	true	false	true	true	false	8884	47
57	true	false	true	true	false	4534	46
58	true	false	true	true	false	6242	45
59	true	false	true	true	false	4440	44
60	true	false	true	true	false	4786	43
61	true	false	true	false	true	4307	43
62	true	false	true	true	false	4287	42
63	true	false	true	true	false	4282	41
64	true	false	true	true	false	4309	40
65	true	false	true	false	true	4242	40
66	true	false	true	true	false	17163	38
67	true	false	true	true	false	4255	37
68	true	false	true	false	true	12118	46
69	true	false	true	true	false	4290	36
70	true	false	true	true	false	4141	35
71	true	false	true	true	false	8397	34
72	true	true	false	false	false	12487	2147483647
73	true	true	false	false	false	12473	34
74	true	false	true	true	false	4489	33
75	true	false	true	true	false	3985	32
76	true	true	false	false	false	4207	2147483647
77	true	false	true	true	false	4147	31
78	true	false	true	true	false	4138	30
79	true	false	true	true	false	4264	29
80	false	false	false	false	false	6168	2147483647
81	true	false	true	true	false	4588	28
82	true	false	true	true	false	5353	27
83	true	false	true	true	false	5503	25
84	true	false	true	false	true	104191	25
85	true	true	false	false	false	5651	2147483647
86	true	true	false	false	false	5296	2147483647
87	true	false	true	true	false	14215	24
