ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	true	false	false	false	220526	false
2	true	false	true	true	false	8187	false
3	true	false	true	false	true	25315	false
4	true	false	true	true	false	18669	false
5	true	false	true	true	false	27243	false
6	true	false	true	false	true	39608	false
7	true	false	true	true	false	68377	false
8	true	false	true	true	false	23547	false
9	true	false	true	true	false	33589	false
10	true	false	true	true	false	41786	false
11	true	false	true	true	false	39266	false
12	true	false	true	true	false	29757	false
13	true	false	true	true	false	23963	false
14	true	false	false	false	false	111180	false
15	true	false	true	false	true	38977	false
16	true	false	true	true	false	8056	false
17	true	false	true	true	false	8522	false
18	true	false	true	false	true	7242	false
19	true	false	true	true	false	70247	false
20	true	false	true	false	true	24520	false
21	true	false	true	false	true	126304	false
22	true	false	true	true	false	57421	false
23	true	false	true	true	false	16283	false
24	true	false	true	true	false	29383	false
25	true	false	true	true	false	69120	false
26	true	false	true	true	false	8264	false
27	false	false	false	false	false	4128	false
28	true	false	true	false	true	28075	false
29	true	false	true	false	true	4321	false
30	true	false	true	false	true	84027	false
31	false	false	false	false	false	33424	false
32	true	false	true	false	true	32667	false
33	true	false	true	false	true	4369	false
34	true	false	true	true	false	23609	false
35	true	false	true	false	true	16710	false
36	true	false	true	false	true	22341	false
37	true	false	true	true	false	59173	false
38	false	false	false	false	false	31048	false
39	true	false	true	false	true	34129	false
40	true	false	true	true	false	28669	false
41	true	false	true	true	false	45090	false
42	true	false	true	false	true	17657	false
43	true	true	false	false	false	51087	false
44	true	true	false	false	false	4543	false
45	true	false	true	true	false	25654	false
46	true	false	true	true	false	47626	false
47	true	false	true	true	false	31015	false
48	true	false	true	true	false	13693	false
49	true	false	true	false	true	101513	false
50	true	false	true	false	true	4794	false
51	true	false	true	true	false	23199	false
52	true	false	true	true	false	28014	false
53	true	false	true	true	false	20724	false
54	false	false	false	false	false	16656	false
55	true	false	true	true	false	13822	false
56	true	false	true	true	false	19219	false
57	true	false	true	true	false	8875	false
58	true	false	true	false	true	6124	false
59	true	false	true	true	false	9896	false
60	true	false	true	true	false	11964	false
61	true	false	true	false	true	7757	false
62	false	false	false	false	false	16260	false
63	true	false	true	true	false	14485	false
64	true	false	true	true	false	7150	false
65	true	false	true	false	true	7018	false
66	true	false	true	true	false	38183	false
67	true	false	true	true	false	9449	false
68	true	false	true	false	true	31472	false
69	true	false	true	false	true	48504	false
70	true	false	true	true	false	8637	false
71	true	false	true	true	false	8170	false
72	true	false	true	false	true	78391	false
73	true	false	true	true	false	21552	true
74	true	false	true	true	false	9816	false
75	true	false	true	true	false	6388	false
76	true	true	false	false	false	62569	false
77	true	false	true	true	false	6756	false
78	true	false	true	true	false	29152	false
79	true	false	true	false	true	33371	false
80	false	false	false	false	false	4487	false
81	true	false	true	false	true	27287	false
82	false	false	false	false	false	23035	false
83	true	false	true	true	false	105673	false
84	true	false	true	true	false	4621	false
85	true	false	true	true	false	66212	false
86	true	false	true	true	false	7487	false
87	true	false	true	true	false	23166	false
