ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	True	False	False	False	220526	False
2	True	False	True	True	False	8187	False
3	True	False	True	True	False	25315	False
4	True	False	True	True	False	18669	False
5	True	False	True	True	False	27243	False
6	True	False	True	False	True	39608	False
7	True	False	True	True	False	68377	False
8	True	False	True	True	False	23547	False
9	True	False	True	True	False	33589	False
10	True	False	True	True	False	41786	False
11	True	False	True	True	False	39266	False
12	True	False	True	True	False	29757	False
13	True	False	True	True	False	23963	False
14	True	False	False	False	False	111180	False
15	True	False	True	True	False	38977	False
16	True	False	True	True	False	8056	False
17	True	False	True	True	False	8522	False
18	True	False	True	False	True	7242	False
19	True	False	True	True	False	70247	False
20	True	False	True	False	True	24520	False
21	True	False	True	False	True	126304	False
22	True	False	True	True	False	57421	False
23	True	False	True	True	False	16283	False
24	True	False	True	True	False	29383	False
25	True	False	True	True	False	69120	False
26	True	False	True	True	False	8264	False
27	False	False	False	False	False	4128	False
28	True	False	True	True	False	28075	False
29	True	False	True	False	True	4321	False
30	True	False	True	False	True	84027	False
31	False	False	False	False	False	33424	False
32	True	False	True	False	True	32667	False
33	True	False	True	False	True	4369	False
34	True	False	True	True	False	23609	False
35	True	False	True	False	True	16710	False
36	True	False	True	True	False	22341	False
37	True	False	True	True	False	59173	False
38	False	False	False	False	False	31048	False
39	True	False	True	False	True	34129	False
40	True	False	True	True	False	28669	False
41	True	False	True	True	False	45090	False
42	True	False	True	True	False	17657	False
43	True	True	False	False	False	51087	False
44	True	True	False	False	False	4543	False
45	True	False	True	True	False	25654	False
46	True	False	True	True	False	47626	False
47	True	False	True	True	False	31015	False
48	True	False	True	True	False	13693	False
49	True	False	True	False	True	101513	False
50	True	False	True	False	True	4794	False
51	True	False	True	True	False	23199	False
52	True	False	True	True	False	28014	False
53	True	False	True	True	False	20724	False
54	False	False	False	False	False	16656	False
55	True	False	True	True	False	13822	False
56	True	False	True	True	False	19219	False
57	True	False	True	True	False	8875	False
58	True	False	True	True	False	6124	False
59	True	False	True	True	False	9896	False
60	True	False	True	True	False	11964	False
61	True	False	True	True	False	7757	False
62	False	False	False	False	False	16260	False
63	True	False	True	True	False	14485	False
64	True	False	True	True	False	7150	False
65	True	False	True	True	False	7018	False
66	True	False	True	True	False	38183	False
67	True	False	True	True	False	9449	False
68	True	False	True	False	True	31472	False
69	True	False	True	True	False	48504	False
70	True	False	True	True	False	8637	False
71	True	False	True	True	False	8170	False
72	True	False	True	False	True	78391	False
73	True	True	False	False	False	21552	False
74	True	False	True	True	False	9816	False
75	True	False	True	True	False	6388	False
76	True	True	False	False	False	62569	False
77	True	False	True	True	False	6756	False
78	True	False	True	True	False	29152	False
79	True	False	True	True	False	33371	False
80	False	False	False	False	False	4487	False
81	True	False	True	True	False	27287	False
82	False	False	False	False	False	23035	False
83	True	False	True	True	False	105673	False
84	True	False	True	True	False	4621	False
85	True	False	True	True	False	66212	False
86	True	False	True	True	False	7487	False
87	True	False	True	True	False	23166	False
