ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	172036	false
2	true	false	true	true	false	7417	false
3	true	false	true	false	true	22280	false
4	true	false	true	true	false	14439	false
5	true	false	true	true	false	22727	false
6	true	false	true	false	true	31152	false
7	true	false	true	true	false	62282	false
8	true	false	true	true	false	22781	false
9	true	false	true	true	false	31673	false
10	true	false	true	true	false	87786	false
11	true	false	true	true	false	75235	false
12	true	false	true	true	false	9118	false
13	true	false	true	true	false	19775	false
14	true	false	true	false	true	120485	false
15	true	true	false	false	false	27829	false
16	true	false	true	true	false	8103	false
17	true	false	true	true	false	8822	false
18	true	false	true	false	true	9008	false
