ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	27	16073	0	8488	24561	0.104971	openai/gpt-5.1
2	1	386	0	90	476	0.001383	openai/gpt-5.1
3	2	1820	0	954	2774	0.011815	openai/gpt-5.1
4	2	1473	0	588	2061	0.007721	openai/gpt-5.1
5	3	1743	0	980	2723	0.011979	openai/gpt-5.1
6	5	2174	0	1335	3509	0.016068	openai/gpt-5.1
7	11	6250	0	2810	9060	0.035913	openai/gpt-5.1
8	2	1017	0	579	1596	0.007061	openai/gpt-5.1
9	3	1356	0	864	2220	0.010335	openai/gpt-5.1
10	4	2070	0	1041	3111	0.012998	openai/gpt-5.1
11	4	322	0	450	772	0.004903	openai/gpt-5.1
12	1	634	0	338	972	0.004173	openai/gpt-5.1
13	2	629	0	445	1074	0.005236	openai/gpt-5.1
14	12	4771	0	4194	8965	0.047904	openai/gpt-5.1
15	6	2728	0	1140	3868	0.014810	openai/gpt-5.1
16	2	706	0	175	881	0.002633	openai/gpt-5.1
17	2	712	0	175	887	0.002640	openai/gpt-5.1
18	1	468	0	185	653	0.002435	openai/gpt-5.1
