ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	165484	86
2	true	false	true	true	false	109093	85
3	true	false	true	false	true	93325	85
4	true	false	true	true	false	97836	83
5	true	false	true	false	true	76128	83
6	true	false	true	true	false	154780	82
7	true	false	true	true	false	67519	81
8	true	false	true	true	false	98725	80
9	true	false	true	true	false	103779	79
10	true	false	true	true	false	71722	77
11	false	false	false	false	false	57491	2147483647
12	true	false	true	true	false	59886	76
13	true	false	true	true	false	103713	75
14	true	false	true	false	true	76867	83
15	true	false	true	false	true	66299	78
16	true	false	true	true	false	77622	74
17	true	true	false	false	false	70769	2147483647
18	true	false	true	true	false	52438	73
19	true	false	true	true	false	69717	72
20	true	false	true	true	false	66917	71
21	true	false	true	true	false	84601	70
22	true	false	true	true	false	85818	69
23	true	false	true	true	false	59552	68
24	true	false	true	true	false	63825	67
25	true	false	true	true	false	50797	66
26	true	false	true	true	false	61076	65
27	true	false	true	false	true	53100	66
28	true	false	true	true	false	124041	64
29	true	false	true	false	true	130749	65
30	true	false	true	true	false	99694	63
31	true	false	true	false	true	59722	65
32	true	false	true	true	false	64979	62
33	true	false	true	true	false	141448	61
34	true	false	true	true	false	85340	60
35	true	false	true	true	false	88389	59
36	true	false	true	true	false	67708	58
37	true	false	true	true	false	63270	57
38	true	false	true	true	false	157167	53
39	true	false	true	true	false	155891	51
40	true	false	true	false	true	146767	51
41	true	false	true	false	true	123590	54
42	true	false	true	true	false	81194	50
43	true	false	true	true	false	87462	48
44	true	false	true	false	true	78533	48
45	true	false	true	true	false	69463	47
46	true	false	true	true	false	73622	45
47	true	false	true	true	false	118502	44
48	true	false	true	false	true	97553	44
49	true	false	true	true	false	93393	42
50	false	false	false	false	false	50330	2147483647
51	true	false	true	true	false	70041	40
52	true	false	true	true	false	43852	39
53	true	false	true	true	false	44562	38
54	false	false	false	false	false	105619	2147483647
55	true	false	true	true	false	61751	37
56	true	false	true	true	false	48494	36
57	true	false	true	true	false	85235	35
58	true	false	true	true	false	98901	34
59	true	false	true	true	false	60429	33
60	true	false	true	true	false	67894	32
61	true	false	true	true	false	54447	31
62	true	false	true	true	false	42962	30
63	true	false	true	true	false	66316	29
64	true	false	true	true	false	61568	28
65	true	false	true	true	false	68118	26
66	true	false	true	false	true	75974	26
67	true	false	true	true	false	62419	25
68	true	false	true	true	false	52803	24
69	true	false	true	true	false	123263	23
70	true	false	true	true	false	83941	21
71	false	false	false	false	false	74180	2147483647
72	true	false	true	true	false	62863	20
73	true	false	true	true	false	79049	19
74	true	false	true	true	false	64354	18
75	true	false	true	true	false	101118	17
76	true	false	true	true	false	120224	16
77	true	false	true	true	false	78281	15
78	true	false	true	true	false	86682	14
79	true	false	true	true	false	94242	13
80	true	false	true	true	false	78109	12
81	true	false	true	true	false	111162	11
82	true	false	true	true	false	83900	10
83	true	false	true	true	false	135829	9
84	true	false	true	false	true	83049	9
85	true	false	true	true	false	127218	8
86	true	false	true	false	true	67411	8
87	true	false	true	true	false	55667	7
