ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return glide;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java:140	4c9270803be98c17740c2842090d9e53809f1341
2	PASS_NULLABLE	passing @Nullable parameter 'context' where @NonNull is required	    return Glide.get(context).getRequestManagerRetriever();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java:518	7bb28fb25df84d74f89a7de837806501e61c9138
3	DEREFERENCE_NULLABLE	dereferenced expression errorBuilder is @Nullable	    int errorOverrideWidth = errorBuilder.getOverrideWidth();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:1123	430ef869d058c651d5dc5c055058a60b74b28f8f
4	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	        previous.begin();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:851	1051b10a18bc057ad5f61fbf54dcf02142ccb4ee
5	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	    return !options.isMemoryCacheable() && previous.isComplete();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:870	c1b3bfd49f1e889efcda8e777338c4a0ac33fa01
6	METHOD_NO_INIT	initializer method does not guarantee @NonNull field requestOptions (line 93) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  @SuppressWarnings("PMD.ConstructorCallsOverridableMethod")	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestManager.java:114	ee3f129d409480b0678638092698bd644c288dea
7	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      buffer = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/data/BufferedOutputStream.java:97	c245d995e7eae667f888097b8c8275177bb8a556
8	DEREFERENCE_NULLABLE	dereferenced expression listener is @Nullable	    listener.onResourceReleased(ref.key, newResource);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/ActiveResources.java:123	c548420c01504f45d7d04249d07952306c80dacc
9	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	    return modelLoaderIndex < modelLoaders.size();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	bd6eac2e153241b01c81de24c05aabc1bfc18e72
10	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	    cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	1daee8b3e2120e0e01d98974d120dfe6957e44df
11	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	    cb.onDataFetcherFailed(sourceKey, e, loadData.fetcher, DataSource.DATA_DISK_CACHE);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:107	0cbb0494a6cd425d732f03c77755239e7fb083c1
12	PASS_NULLABLE	passing @Nullable parameter 'cacheFile' where @NonNull is required	            modelLoader.buildLoadData(	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:75	eef26e76773d200766f3525ff30adfcae7116045
13	DEREFERENCE_NULLABLE	dereferenced expression encoder is @Nullable	    return encoder.encode(data, file, options);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheWriter.java:30	1fa1086bcbe5b6624b9b726b15b869f76df7ffb0
14	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    glideContext = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:81	bc5be39f5ac4f97b5e59bd21982ea4cac4aeadfb
15	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    model = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:82	820cb5d43b6e62e7ef7047a535ac6768d79a1f31
16	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    resourceClass = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	4aa8f484f940c5d15f1bee1bad3cadcdd56beee9
17	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    transcodeClass = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	6b48a41b87283033f21a0a473e10d4ef034460e9
18	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    options = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:86	9d73089dfb503de119eaf2ec2d31dcdde8018b5c
19	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return diskCacheStrategy;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:102	ab651c5699cc05b18df30e267e824336a8267769
20	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return priority;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:110	21acdc44c8ebb2d02c895d5d94b53f0f8888c851
21	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return signature;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:118	01e241dabcc148546c7d5d40cb10acd8846dd157
22	DEREFERENCE_NULLABLE	dereferenced expression transformations is @Nullable	    Transformation<Z> result = (Transformation<Z>) transformations.get(resourceClass);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:162	415d0fed96fb63b84bab4654399dd2a2d9324504
23	DEREFERENCE_NULLABLE	dereferenced expression fetcher is @Nullable	      fetcher.cleanup();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeJob.java:508	6a7c299ed30c8e6e9e5b00fa501d0e44c4682f55
