ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	82084	false
2	true	false	true	true	false	45095	false
3	true	false	true	true	false	111244	false
4	true	false	true	true	false	52978	false
5	true	false	true	true	false	62753	false
6	true	false	true	true	false	95906	false
7	true	false	true	true	false	44671	false
8	true	false	true	true	false	69957	false
9	true	false	true	true	false	53367	false
10	true	false	true	true	false	49134	false
11	false	false	false	false	false	74128	false
12	true	true	false	false	false	78558	false
13	true	false	true	true	false	45539	false
14	true	false	false	false	false	54896	false
15	true	false	true	true	false	63980	false
16	true	false	true	true	false	70652	false
17	true	false	true	false	true	72901	false
18	true	false	true	false	true	67941	false
19	true	false	true	false	true	116466	false
20	true	false	true	true	false	63145	false
21	true	false	true	true	false	69759	false
22	false	false	false	false	false	110084	false
23	true	false	true	true	false	55821	false
24	true	false	true	true	false	58379	false
25	true	false	true	true	false	54910	false
26	true	false	true	false	true	59583	false
27	true	false	true	false	true	57971	false
28	true	false	true	true	false	46935	false
29	true	false	true	true	false	74073	false
30	true	false	true	true	false	64571	false
31	true	false	true	true	false	115258	false
32	true	true	false	false	false	57124	false
33	true	false	true	false	true	57614	false
34	true	false	true	true	false	124613	false
35	true	false	true	false	true	102185	false
36	true	false	true	true	false	108977	false
37	true	false	true	true	false	48478	false
38	true	false	true	false	true	153601	false
39	false	false	false	false	false	67575	false
40	true	false	true	false	true	55394	false
41	true	false	true	true	false	49768	false
42	false	false	false	false	false	84648	false
43	true	true	false	false	false	67029	false
44	true	false	true	true	false	57754	false
45	true	false	true	true	false	52326	false
46	true	false	true	true	false	106664	false
47	true	false	true	true	false	72336	false
48	true	false	true	true	false	88363	false
49	true	false	true	true	false	247929	false
50	true	false	true	false	true	136137	false
51	true	false	true	true	false	70980	false
52	true	false	true	true	false	54538	false
53	true	false	true	true	false	110501	false
54	true	false	true	true	false	59655	false
55	true	false	true	true	false	48599	false
56	true	false	true	true	false	71088	false
57	true	false	true	true	false	78333	false
58	true	false	true	true	false	59949	false
59	true	false	true	true	false	90351	false
60	true	false	true	true	false	71013	false
61	true	false	true	true	false	46284	false
62	true	false	true	true	false	42188	false
63	true	false	true	true	false	71557	false
64	true	false	true	true	false	56090	false
65	true	false	true	true	false	80837	false
66	true	false	true	true	false	98376	false
67	true	false	true	true	false	50811	false
68	true	false	true	true	false	66184	false
69	true	true	false	false	false	102012	false
70	true	false	true	true	false	60461	false
71	true	false	true	true	false	66352	false
72	true	false	true	true	false	84097	false
73	true	false	true	true	false	58113	false
74	true	false	true	true	false	66962	false
75	true	false	true	true	false	84419	false
76	true	false	true	true	false	53287	false
77	true	false	true	true	false	60192	false
78	true	false	true	true	false	97178	false
79	true	false	true	true	false	80921	false
80	true	false	true	false	true	60061	false
81	true	true	false	false	false	174185	false
82	true	true	false	false	false	72843	false
83	true	false	true	true	false	87964	false
84	true	false	true	true	false	87379	false
85	true	false	true	true	false	100627	false
86	true	false	true	true	false	107898	false
87	true	false	true	true	false	48264	false
