ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	82084	False
2	True	False	True	True	False	45095	False
3	True	False	True	True	False	111244	False
4	True	False	True	True	False	52978	False
5	True	False	True	True	False	62753	False
6	True	False	True	True	False	95906	False
7	True	False	True	True	False	44671	False
8	True	False	True	True	False	69957	False
9	True	False	True	True	False	53367	False
10	True	False	True	True	False	49134	False
11	False	False	False	False	False	74128	False
12	True	True	False	False	False	78558	False
13	True	False	True	True	False	45539	False
14	True	False	False	False	False	54896	False
15	True	False	True	True	False	63980	False
16	True	False	True	True	False	70652	False
17	True	False	True	False	True	72901	False
18	True	False	True	False	True	67941	False
19	True	False	True	False	True	116466	False
20	True	False	True	True	False	63145	False
21	True	False	True	True	False	69759	False
22	False	False	False	False	False	110084	False
23	True	False	True	True	False	55821	False
24	True	False	True	True	False	58379	False
25	True	False	True	True	False	54910	False
26	True	False	True	False	True	59583	False
27	True	False	True	False	True	57971	False
28	True	False	True	True	False	46935	False
29	True	False	True	True	False	74073	False
30	True	False	True	True	False	64571	False
31	True	False	True	True	False	115258	False
32	True	True	False	False	False	57124	False
33	True	False	True	False	True	57614	False
34	True	False	True	True	False	124613	False
35	True	False	True	False	True	102185	False
36	True	False	True	True	False	108977	False
37	True	False	True	True	False	48478	False
38	True	False	True	False	True	153601	False
39	False	False	False	False	False	67575	False
40	True	False	True	False	True	55394	False
41	True	False	True	True	False	49768	False
42	False	False	False	False	False	84648	False
43	True	True	False	False	False	67029	False
44	True	False	True	True	False	57754	False
45	True	False	True	True	False	52326	False
46	True	False	True	True	False	106664	False
47	True	False	True	True	False	72336	False
48	True	False	True	True	False	88363	False
49	True	False	True	True	False	247929	False
50	True	False	True	False	True	136137	False
51	True	False	True	True	False	70980	False
52	True	False	True	True	False	54538	False
53	True	False	True	True	False	110501	False
54	True	False	True	True	False	59655	False
55	True	False	True	True	False	48599	False
56	True	False	True	True	False	71088	False
57	True	False	True	True	False	78333	False
58	True	False	True	True	False	59949	False
59	True	False	True	True	False	90351	False
60	True	False	True	True	False	71013	False
61	True	False	True	True	False	46284	False
62	True	False	True	True	False	42188	False
63	True	False	True	True	False	71557	False
64	True	False	True	True	False	56090	False
65	True	False	True	True	False	80837	False
66	True	False	True	True	False	98376	False
67	True	False	True	True	False	50811	False
68	True	False	True	True	False	66184	False
69	True	True	False	False	False	102012	False
70	True	False	True	True	False	60461	False
71	True	False	True	True	False	66352	False
72	True	False	True	True	False	84097	False
73	True	False	True	True	False	58113	False
74	True	False	True	True	False	66962	False
75	True	False	True	True	False	84419	False
76	True	False	True	True	False	53287	False
77	True	False	True	True	False	60192	False
78	True	False	True	True	False	97178	False
79	True	False	True	True	False	80921	False
80	True	False	True	False	True	60061	False
81	True	True	False	False	False	174185	False
82	True	True	False	False	False	72843	False
83	True	False	True	True	False	87964	False
84	True	False	True	True	False	87379	False
85	True	False	True	True	False	100627	False
86	True	False	True	True	False	107898	False
87	True	False	True	True	False	48264	False
