ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return glide;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java:140	22458c7935080868063afd0837e71695457936fa
3	DEREFERENCE_NULLABLE	dereferenced expression errorBuilder is @Nullable	    int errorOverrideWidth = errorBuilder.getOverrideWidth();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:1123	aea751ff82f9afd9ba11386232b9fa163a836fd7
4	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	        previous.begin();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:851	a88c9318898bb835df316c831ee4e6468fcfe464
5	DEREFERENCE_NULLABLE	dereferenced expression previous is @Nullable	    return !options.isMemoryCacheable() && previous.isComplete();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestBuilder.java:870	e8fd576c6cd0195394137908237fdb703a41cf73
6	METHOD_NO_INIT	initializer method does not guarantee @NonNull field requestOptions (line 93) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  @SuppressWarnings("PMD.ConstructorCallsOverridableMethod")	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/RequestManager.java:114	adc78d0f73c0b7efd452a0309dfa8ea89d4f678a
7	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      buffer = null;	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/data/BufferedOutputStream.java:97	540ffd7a12255ea59bc1c2daa9400f26de32a6cb
8	DEREFERENCE_NULLABLE	dereferenced expression listener is @Nullable	    listener.onResourceReleased(ref.key, newResource);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/ActiveResources.java:123	0efbf82ec3caff080f90bae4c380c048527ab8d9
9	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	    return modelLoaderIndex < modelLoaders.size();	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	a715a5cf69221f57955df16c0f60e0d113a90512
10	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	    cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	6e900740de31ee6f4c3d5621d223e7bc889ac73d
11	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	    cb.onDataFetcherFailed(sourceKey, e, loadData.fetcher, DataSource.DATA_DISK_CACHE);	/home/vscode/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:107	da6f9447646d48fc113c4cb947b73907cd782232
