ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	8986	86
2	true	false	true	false	true	8800	86
3	true	false	true	true	false	10398	85
4	true	false	true	true	false	5975	84
5	true	false	true	true	false	7022	83
6	true	false	true	true	false	5716	82
7	true	false	true	true	false	4805	81
8	true	false	true	true	false	5474	80
9	true	false	true	true	false	7084	79
10	true	false	true	true	false	11155	78
11	true	false	true	true	false	12508	77
12	true	false	true	true	false	12442	76
13	true	false	true	true	false	5977	75
14	true	false	true	true	false	9293	74
15	true	true	false	false	false	8368	2147483647
16	true	false	true	true	false	8956	73
17	true	false	true	true	false	7691	72
18	true	false	true	true	false	9989	71
19	true	false	true	true	false	7558	70
20	true	false	true	true	false	8145	69
21	true	false	true	true	false	10427	68
22	true	false	true	false	true	9129	68
23	true	false	true	true	false	7267	67
24	true	false	true	true	false	9922	66
25	true	false	false	false	true	7191	68
26	true	false	true	false	true	8382	66
27	true	false	true	false	true	6756	66
28	true	false	true	true	false	5753	65
29	true	false	true	true	false	8273	64
30	true	true	false	false	false	7565	2147483647
31	true	false	true	false	true	8356	64
32	true	false	true	true	false	7220	63
33	true	true	false	false	false	8553	2147483647
34	true	false	true	true	false	6774	62
35	true	false	true	true	false	9415	61
36	true	false	true	false	true	4824	61
37	true	false	true	true	false	7319	60
38	true	false	true	false	true	7085	61
39	true	false	true	true	false	7269	59
40	true	false	true	true	false	6555	58
41	true	false	true	true	false	6414	57
42	true	false	true	true	false	4087	56
43	true	false	false	false	true	4711	57
44	true	false	true	true	false	4056	55
45	true	false	true	true	false	4301	54
46	true	false	true	true	false	6458	53
47	true	false	true	true	false	6530	52
48	true	false	true	true	false	11159	51
49	true	false	false	false	true	4513	52
50	true	false	true	true	false	4397	50
51	true	false	true	true	false	4444	49
52	true	false	true	true	false	4123	48
53	true	false	true	true	false	6839	47
54	true	false	true	true	false	3989	46
55	true	false	true	true	false	4165	45
56	true	false	true	true	false	10531	44
57	true	false	true	true	false	6429	43
58	true	false	true	true	false	4123	42
59	true	false	true	true	false	4323	41
60	true	false	true	true	false	4343	40
61	true	false	true	true	false	4504	39
62	true	false	true	true	false	4038	38
63	true	false	false	false	true	3988	39
64	true	false	true	true	false	4317	37
65	true	false	true	true	false	4351	36
66	true	false	true	true	false	4198	35
67	true	false	true	true	false	4168	34
68	true	false	true	true	false	4058	33
69	true	true	false	false	false	4277	2147483647
70	true	false	true	true	false	4577	32
71	true	false	true	true	false	8601	31
72	true	false	true	true	false	4095	30
73	true	false	true	true	false	4283	29
74	true	false	true	true	false	4653	28
75	true	false	true	true	false	4103	27
76	true	false	true	true	false	4523	26
77	true	false	true	true	false	4166	25
78	true	false	true	false	true	3964	25
79	true	false	true	true	false	4181	24
80	true	false	false	false	false	4160	24
81	true	false	true	true	false	4396	23
82	true	false	true	false	true	4303	23
83	true	false	true	true	false	4162	22
84	true	false	true	true	false	5608	21
85	true	false	true	true	false	3928	20
86	true	false	true	true	false	5306	19
87	true	false	true	true	false	3726	18
