ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	7992	false
2	true	false	true	false	true	7705	false
3	true	false	true	true	false	11791	false
4	true	false	true	true	false	9190	false
5	true	false	true	true	false	7002	false
6	true	false	true	true	false	8389	false
7	true	false	true	true	false	6972	false
8	true	false	true	true	false	8949	false
9	true	false	true	true	false	6925	false
10	true	false	true	true	false	7535	false
11	true	false	true	true	false	6643	false
12	true	false	true	false	true	11867	false
13	true	false	true	true	false	6515	false
14	true	false	true	true	false	11703	false
15	true	false	true	true	false	7625	false
16	true	false	true	true	false	8217	false
17	true	false	true	true	false	6562	false
18	true	false	true	true	false	7427	false
19	true	false	true	true	false	6006	false
20	true	false	true	true	false	6511	false
21	true	false	true	true	false	6258	false
22	true	false	true	false	true	7132	false
23	true	false	true	true	false	7169	false
24	true	false	true	true	false	6063	false
25	true	false	false	false	true	7786	false
26	true	false	true	false	true	12146	false
27	true	false	false	false	false	6989	false
28	true	false	true	true	false	7052	false
29	true	true	false	false	false	6831	false
30	true	false	true	true	false	7803	false
31	true	false	true	true	false	7912	false
32	true	false	true	true	false	7213	false
33	true	false	true	false	true	6634	false
34	true	false	true	true	false	7213	false
35	true	false	true	false	true	6679	false
36	true	false	true	false	true	6946	false
37	true	false	true	true	false	6589	false
38	false	false	false	false	false	5818	false
39	true	false	true	false	true	6562	false
40	true	false	true	true	false	8120	false
41	true	false	true	true	false	7696	false
42	true	false	true	true	false	7195	false
43	true	false	false	false	true	6015	false
44	true	false	true	true	false	5834	false
45	true	false	true	true	false	6978	false
46	true	false	true	true	false	5917	false
47	true	false	true	true	false	7163	false
48	true	false	true	true	false	10150	false
49	true	false	false	false	true	5931	false
50	true	false	true	true	false	7535	false
51	true	false	true	true	false	5621	false
52	true	false	true	true	false	9858	false
53	true	false	true	true	false	6895	false
54	true	false	true	true	false	7169	false
55	true	false	true	true	false	7430	false
56	true	false	true	true	false	6028	false
57	true	false	true	true	false	8552	false
58	true	false	true	true	false	6379	false
59	true	false	true	true	false	7447	false
60	true	false	true	true	false	5762	false
61	true	false	true	true	false	6688	false
62	true	false	true	true	false	5601	false
63	true	false	false	false	true	6901	false
64	true	false	true	true	false	6419	false
65	true	false	true	true	false	6008	false
66	true	false	true	true	false	8107	false
67	true	false	true	true	false	14273	false
68	true	false	true	true	false	7945	false
69	true	true	false	false	false	36465	false
70	true	false	true	true	false	8087	false
71	true	false	true	true	false	7484	false
72	true	false	true	true	false	9038	false
73	true	false	true	true	false	6255	false
74	true	false	true	true	false	10707	false
75	true	false	true	true	false	6351	false
76	true	false	true	true	false	5811	false
77	true	false	true	true	false	5656	false
78	true	false	true	false	true	7235	false
79	true	false	true	true	false	8302	false
80	true	false	false	false	false	7421	false
81	true	false	true	true	false	8570	false
82	true	false	true	false	true	5914	false
83	true	false	true	true	false	5819	false
84	true	false	true	true	false	5691	false
85	true	false	true	true	false	6301	false
86	true	false	true	true	false	7021	false
87	true	false	true	true	false	6131	false
