ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	454	0	195	649	0.002517	openai/gpt-5.1
2	1	672	0	122	794	0.002060	openai/gpt-5.1
3	1	639	0	401	1040	0.004809	openai/gpt-5.1
4	1	639	0	343	982	0.004229	openai/gpt-5.1
5	1	570	0	84	654	0.001553	openai/gpt-5.1
6	1	686	0	247	933	0.003328	openai/gpt-5.1
7	1	266	0	65	331	0.000982	openai/gpt-5.1
8	1	442	0	188	630	0.002433	openai/gpt-5.1
9	1	458	0	69	527	0.001263	openai/gpt-5.1
10	1	367	0	101	468	0.001469	openai/gpt-5.1
11	1	346	0	101	447	0.001443	openai/gpt-5.1
12	1	554	0	392	946	0.004613	openai/gpt-5.1
13	1	371	0	82	453	0.001284	openai/gpt-5.1
14	1	427	0	119	546	0.001724	openai/gpt-5.1
15	1	430	0	120	550	0.001738	openai/gpt-5.1
16	1	421	0	119	540	0.001716	openai/gpt-5.1
17	1	414	0	112	526	0.001638	openai/gpt-5.1
18	1	424	0	120	544	0.001730	openai/gpt-5.1
19	1	369	0	73	442	0.001191	openai/gpt-5.1
20	1	344	0	60	404	0.001030	openai/gpt-5.1
21	1	343	0	82	425	0.001249	openai/gpt-5.1
22	1	492	0	237	729	0.002985	openai/gpt-5.1
23	1	494	0	178	672	0.002398	openai/gpt-5.1
24	1	464	0	63	527	0.001210	openai/gpt-5.1
25	1	757	0	332	1089	0.004266	openai/gpt-5.1
26	1	601	0	321	922	0.003961	openai/gpt-5.1
27	1	589	0	226	815	0.002996	openai/gpt-5.1
28	1	399	0	192	591	0.002419	openai/gpt-5.1
29	1	393	0	181	574	0.002301	openai/gpt-5.1
30	1	405	0	189	594	0.002396	openai/gpt-5.1
31	1	412	0	174	586	0.002255	openai/gpt-5.1
32	1	412	0	183	595	0.002345	openai/gpt-5.1
33	1	398	0	191	589	0.002408	openai/gpt-5.1
34	1	552	0	195	747	0.002640	openai/gpt-5.1
35	1	365	0	80	445	0.001256	openai/gpt-5.1
36	1	527	0	138	665	0.002039	openai/gpt-5.1
37	1	579	0	305	884	0.003774	openai/gpt-5.1
38	1	0	0	0	0	0.000000	openai/gpt-5.1
39	1	409	0	152	561	0.002031	openai/gpt-5.1
40	1	391	0	146	537	0.001949	openai/gpt-5.1
41	1	403	0	151	554	0.002014	openai/gpt-5.1
42	1	550	0	174	724	0.002428	openai/gpt-5.1
43	1	444	0	68	512	0.001235	openai/gpt-5.1
44	1	396	0	63	459	0.001125	openai/gpt-5.1
45	1	460	0	69	529	0.001265	openai/gpt-5.1
46	1	363	0	104	467	0.001494	openai/gpt-5.1
47	1	351	0	102	453	0.001459	openai/gpt-5.1
48	1	759	0	633	1392	0.007279	openai/gpt-5.1
49	1	598	0	78	676	0.001528	openai/gpt-5.1
50	1	633	0	477	1110	0.005561	openai/gpt-5.1
51	1	322	0	78	400	0.001183	openai/gpt-5.1
52	1	447	0	223	670	0.002789	openai/gpt-5.1
53	1	385	0	88	473	0.001361	openai/gpt-5.1
54	1	322	0	80	402	0.001203	openai/gpt-5.1
55	1	549	0	183	732	0.002516	openai/gpt-5.1
56	1	505	0	107	612	0.001701	openai/gpt-5.1
57	1	471	0	180	651	0.002389	openai/gpt-5.1
58	1	412	0	99	511	0.001505	openai/gpt-5.1
59	1	694	0	390	1084	0.004768	openai/gpt-5.1
60	1	373	0	88	461	0.001346	openai/gpt-5.1
61	1	460	0	190	650	0.002475	openai/gpt-5.1
62	1	409	0	75	484	0.001261	openai/gpt-5.1
63	1	447	0	55	502	0.001109	openai/gpt-5.1
64	1	534	0	209	743	0.002758	openai/gpt-5.1
65	1	570	0	160	730	0.002313	openai/gpt-5.1
66	1	760	0	601	1361	0.006960	openai/gpt-5.1
67	1	618	0	412	1030	0.004893	openai/gpt-5.1
68	1	679	0	303	982	0.003879	openai/gpt-5.1
69	1	2106	0	1849	3955	0.021123	openai/gpt-5.1
70	1	532	0	315	847	0.003815	openai/gpt-5.1
71	1	540	0	316	856	0.003835	openai/gpt-5.1
72	1	543	0	291	834	0.003589	openai/gpt-5.1
73	1	432	0	86	518	0.001400	openai/gpt-5.1
74	1	602	0	356	958	0.004313	openai/gpt-5.1
75	1	512	0	113	625	0.001770	openai/gpt-5.1
76	1	399	0	91	490	0.001409	openai/gpt-5.1
77	1	526	0	117	643	0.001828	openai/gpt-5.1
78	1	534	0	200	734	0.002668	openai/gpt-5.1
79	1	610	0	309	919	0.003853	openai/gpt-5.1
80	1	465	0	113	578	0.001711	openai/gpt-5.1
81	1	573	0	362	935	0.004336	openai/gpt-5.1
82	1	534	0	99	633	0.001658	openai/gpt-5.1
83	1	406	0	85	491	0.001358	openai/gpt-5.1
84	1	273	0	68	341	0.001021	openai/gpt-5.1
85	1	397	0	88	485	0.001376	openai/gpt-5.1
86	1	275	0	68	343	0.001024	openai/gpt-5.1
87	1	451	0	102	553	0.001584	openai/gpt-5.1
