ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	14373	32
2	true	false	true	false	true	13240	32
3	true	false	true	true	false	8806	31
4	true	false	true	true	false	9902	30
5	true	false	true	true	false	6810	29
6	true	false	true	false	true	8411	30
7	true	false	true	true	false	8076	28
8	true	false	true	true	false	124589	23
9	false	false	false	false	false	15109	2147483647
10	true	false	true	false	true	7925	24
11	true	false	true	true	false	21969	22
12	false	false	false	false	false	14202	2147483647
13	false	false	false	false	false	12821	2147483647
14	true	false	true	false	true	24577	22
15	true	false	true	false	true	24252	22
16	true	false	true	false	true	25107	22
17	true	false	true	false	true	22101	22
18	true	false	true	false	true	6324	22
19	true	false	true	true	false	20166	21
20	true	false	true	false	true	14444	21
21	true	false	true	true	false	15172	20
22	false	false	false	false	false	12173	2147483647
23	false	false	false	false	false	12113	2147483647
24	false	false	false	false	false	10866	2147483647
25	false	false	false	false	false	13884	2147483647
26	true	false	true	true	false	5953	19
27	true	false	true	true	false	9453	18
28	true	false	true	true	false	5418	17
29	true	false	true	true	false	5660	16
30	true	false	true	true	false	20528	15
31	true	false	true	true	false	5733	14
32	true	false	true	false	true	33010	18
