ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	5	0	0	0	0	0.000000	openai/gpt-5.1
2	4	0	0	0	0	0.000000	openai/gpt-5.1
3	1	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	4	0	0	0	0	0.000000	openai/gpt-5.1
7	2	0	0	0	0	0.000000	openai/gpt-5.1
8	6	18690	0	3584	22274	0.059203	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	4	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	1	0	0	0	0	0.000000	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	2	2148	0	1234	3382	0.015025	openai/gpt-5.1
15	2	2138	0	1409	3547	0.016763	openai/gpt-5.1
16	2	2140	0	1401	3541	0.016685	openai/gpt-5.1
17	2	2148	0	1145	3293	0.014135	openai/gpt-5.1
18	2	0	0	0	0	0.000000	openai/gpt-5.1
19	2	1174	0	106	1280	0.002528	openai/gpt-5.1
20	2	916	0	472	1388	0.005865	openai/gpt-5.1
21	2	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	5	0	0	0	0	0.000000	openai/gpt-5.1
28	2	0	0	0	0	0.000000	openai/gpt-5.1
29	2	0	0	0	0	0.000000	openai/gpt-5.1
30	2	0	0	0	0	0.000000	openai/gpt-5.1
31	1	0	0	0	0	0.000000	openai/gpt-5.1
32	11	1109	0	289	1398	0.004276	openai/gpt-5.1
