ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	43879	false
2	true	false	true	false	true	41069	false
3	false	false	false	false	false	4805	false
4	false	false	false	false	false	4877	false
5	false	false	false	false	false	4830	false
6	true	false	true	false	true	39291	false
7	true	false	true	true	false	18274	false
8	true	false	true	false	true	28529	false
9	true	false	true	false	true	24972	false
10	true	false	true	false	true	4849	false
11	true	false	false	false	false	35366	false
12	true	false	false	false	false	87929	true
13	true	false	false	false	false	85203	true
14	true	false	true	true	false	111431	false
15	true	false	true	true	false	55780	false
16	true	false	true	true	false	59861	false
17	true	false	true	true	false	97120	false
18	true	false	true	true	false	38163	false
19	true	false	true	true	false	44012	false
20	true	false	true	true	false	23714	false
21	true	false	true	true	false	4736	false
22	true	false	true	false	true	4631	false
23	true	false	true	false	true	4799	false
24	false	false	false	false	false	9184	false
25	false	false	false	false	false	9386	false
26	true	false	true	true	false	31521	false
27	true	false	true	true	false	28630	false
28	true	false	true	true	false	19229	false
29	true	false	true	true	false	14795	false
30	true	false	true	true	false	21992	false
31	true	false	true	true	false	6365	false
32	true	false	true	false	true	66062	false
