ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	4	4769	0	1530	6299	0.021261	openai/gpt-5.1
2	4	5328	0	1151	6479	0.018170	openai/gpt-5.1
3	0	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	4	2389	0	1841	4230	0.021396	openai/gpt-5.1
7	2	585	0	611	1196	0.006841	openai/gpt-5.1
8	2	2173	0	1124	3297	0.013956	openai/gpt-5.1
9	2	2378	0	1329	3707	0.016263	openai/gpt-5.1
10	4	0	0	0	0	0.000000	openai/gpt-5.1
11	2	2103	0	1085	3188	0.013479	openai/gpt-5.1
12	6	18556	0	3934	22490	0.062535	openai/gpt-5.1
13	6	18680	0	3721	22401	0.060560	openai/gpt-5.1
14	8	16999	2048	4733	23780	0.068835	openai/gpt-5.1
15	8	858	0	752	1610	0.008593	openai/gpt-5.1
16	8	859	0	908	1767	0.010154	openai/gpt-5.1
17	7	8065	0	4801	12866	0.058091	openai/gpt-5.1
18	7	0	0	0	0	0.000000	openai/gpt-5.1
19	7	315	0	422	737	0.004614	openai/gpt-5.1
20	3	1881	0	1059	2940	0.012941	openai/gpt-5.1
21	2	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	2	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	449	0	672	1121	0.007281	openai/gpt-5.1
27	5	1991	0	904	2895	0.011529	openai/gpt-5.1
28	2	1629	0	846	2475	0.010496	openai/gpt-5.1
29	2	716	0	559	1275	0.006485	openai/gpt-5.1
30	2	956	0	465	1421	0.005845	openai/gpt-5.1
31	1	378	0	91	469	0.001383	openai/gpt-5.1
32	4	1357	0	891	2248	0.010606	openai/gpt-5.1
