ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	43879	False
2	True	False	True	False	True	41069	False
3	False	False	False	False	False	4805	False
4	False	False	False	False	False	4877	False
5	False	False	False	False	False	4830	False
6	True	False	True	False	True	39291	False
7	True	False	True	True	False	18274	False
8	True	False	True	True	False	28529	False
9	True	False	True	True	False	24972	False
10	True	False	True	False	True	4849	False
11	True	False	False	False	False	35366	False
12	True	False	False	False	False	87929	True
13	True	False	False	False	False	85203	True
14	True	False	True	True	False	111431	False
15	True	False	True	True	False	55780	False
16	True	False	True	True	False	59861	False
17	True	False	True	True	False	97120	False
18	True	False	True	True	False	38163	False
19	True	False	True	True	False	44012	False
20	True	False	True	True	False	23714	False
21	True	False	True	True	False	4736	False
22	True	False	True	True	False	4631	False
23	True	False	True	True	False	4799	False
24	False	False	False	False	False	9184	False
25	False	False	False	False	False	9386	False
26	True	False	True	True	False	31521	False
27	True	False	True	True	False	28630	False
28	True	False	True	True	False	19229	False
29	True	False	True	True	False	14795	False
30	True	False	True	True	False	21992	False
31	True	False	True	True	False	6365	False
32	True	False	True	False	True	66062	False
