ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	32142	false
2	true	false	true	true	false	24692	false
3	false	false	false	false	false	4864	false
4	false	false	false	false	false	5077	false
5	false	false	false	false	false	5025	false
6	true	false	true	true	false	33194	false
7	true	false	true	true	false	12979	false
8	true	false	true	true	false	13528	false
9	true	false	false	false	false	75175	true
10	true	false	true	true	false	5464	false
11	true	false	true	true	false	20096	false
12	true	false	false	false	false	39874	true
13	true	false	false	false	false	76153	true
14	true	false	true	true	false	102671	true
15	true	false	true	true	false	58874	true
16	true	false	true	false	true	22877	false
17	true	false	true	true	false	88519	true
18	true	false	true	true	false	46788	true
19	true	false	true	true	false	47039	true
20	true	false	true	true	false	18246	false
21	true	false	true	true	false	5031	false
22	true	false	true	true	false	5263	false
23	false	false	false	false	false	10286	false
24	false	false	false	false	false	9861	false
25	false	false	false	false	false	9784	false
26	true	false	true	true	false	11071	false
27	true	false	true	true	false	17051	false
28	true	false	true	true	false	15682	false
29	true	false	true	true	false	13186	false
30	true	false	true	true	false	22616	false
31	true	false	true	true	false	6215	false
32	true	false	true	false	true	44817	false
