ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	4	4541	0	1160	5701	0.017276	openai/gpt-5.1
2	4	4023	0	1270	5293	0.017729	openai/gpt-5.1
3	0	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	5	3381	0	2610	5991	0.030326	openai/gpt-5.1
7	2	673	0	577	1250	0.006611	openai/gpt-5.1
8	2	1808	0	920	2728	0.011460	openai/gpt-5.1
9	6	19262	0	3979	23241	0.063868	openai/gpt-5.1
10	5	0	0	0	0	0.000000	openai/gpt-5.1
11	2	1564	0	1014	2578	0.012095	openai/gpt-5.1
12	6	463	0	262	725	0.003199	openai/gpt-5.1
13	6	18876	0	3665	22541	0.060245	openai/gpt-5.1
14	8	22344	0	4973	27317	0.077660	openai/gpt-5.1
15	8	858	0	1300	2158	0.014073	openai/gpt-5.1
16	2	1904	0	1694	3598	0.019320	openai/gpt-5.1
17	7	8974	0	4970	13944	0.060918	openai/gpt-5.1
18	7	0	0	0	0	0.000000	openai/gpt-5.1
19	7	315	0	333	648	0.003724	openai/gpt-5.1
20	3	2256	0	901	3157	0.011830	openai/gpt-5.1
21	2	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	449	0	591	1040	0.006471	openai/gpt-5.1
27	5	1845	0	792	2637	0.010226	openai/gpt-5.1
28	2	1078	0	903	1981	0.010378	openai/gpt-5.1
29	2	804	0	722	1526	0.008225	openai/gpt-5.1
30	2	998	0	442	1440	0.005668	openai/gpt-5.1
31	1	509	0	91	600	0.001546	openai/gpt-5.1
32	11	5722	0	2090	7812	0.028053	openai/gpt-5.1
