ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	46095	false
2	true	true	false	false	false	27547	false
3	false	false	false	false	false	5705	false
4	false	false	false	false	false	6713	false
5	false	false	false	false	false	8281	false
6	true	false	true	true	false	39520	false
7	true	false	true	true	false	18300	false
8	true	false	true	false	true	21220	false
9	true	false	true	false	true	19592	false
10	true	false	true	true	false	6633	false
11	true	false	true	true	false	19813	false
12	true	false	false	false	false	115999	true
13	true	false	false	false	false	74872	true
14	true	false	true	false	true	64126	false
15	true	false	true	true	false	103707	true
16	true	false	true	false	true	40528	false
17	true	false	true	true	false	173613	true
18	true	false	true	true	false	40112	true
19	true	false	true	true	false	76657	true
20	true	false	true	true	false	57957	false
21	true	false	true	true	false	5440	false
22	true	false	true	false	true	14737	false
23	true	false	true	false	true	6236	false
24	false	false	false	false	false	35465	false
25	false	false	false	false	false	11405	false
26	true	false	true	true	false	15757	false
