ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	4	5605	0	1499	7104	0.021996	openai/gpt-5.1
2	4	5310	0	1067	6377	0.017308	openai/gpt-5.1
3	0	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	5	3109	0	2381	5490	0.027696	openai/gpt-5.1
7	2	567	0	566	1133	0.006369	openai/gpt-5.1
8	2	2284	0	1252	3536	0.015375	openai/gpt-5.1
9	2	2036	0	1004	3040	0.012585	openai/gpt-5.1
10	5	0	0	0	0	0.000000	openai/gpt-5.1
11	2	1965	0	967	2932	0.012126	openai/gpt-5.1
12	6	16540	0	2673	19213	0.047405	openai/gpt-5.1
13	6	16918	0	2754	19672	0.048687	openai/gpt-5.1
14	2	3041	0	1691	4732	0.020711	openai/gpt-5.1
15	8	16791	2048	3224	22063	0.053485	openai/gpt-5.1
16	2	2946	0	1604	4550	0.019722	openai/gpt-5.1
17	7	5476	0	4016	9492	0.047005	openai/gpt-5.1
18	7	0	0	0	0	0.000000	openai/gpt-5.1
19	7	315	0	475	790	0.005144	openai/gpt-5.1
20	3	1864	0	1040	2904	0.012730	openai/gpt-5.1
21	2	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	2	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	449	0	380	829	0.004361	openai/gpt-5.1
27	5	1821	0	787	2608	0.010146	openai/gpt-5.1
