ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	83243	31
2	true	false	true	true	false	51599	30
3	true	false	true	true	false	110753	29
4	true	false	true	false	true	81844	29
5	true	false	true	true	false	174173	28
6	true	false	true	true	false	62448	27
7	true	false	true	true	false	37711	26
8	true	false	true	true	false	50987	24
9	true	false	true	false	true	54137	24
10	true	false	true	false	true	51290	27
11	true	false	true	true	false	49623	23
12	true	false	true	true	false	76744	22
13	true	false	true	true	false	32118	21
14	true	false	true	true	false	118007	19
15	true	false	true	true	false	110385	16
16	true	false	true	true	false	55359	15
17	false	false	false	false	false	33131	2147483647
18	true	false	true	true	false	57158	14
19	true	false	true	true	false	37623	13
20	true	false	true	true	false	40615	12
21	true	true	false	false	false	45590	2147483647
22	true	false	true	false	true	66276	12
23	true	false	true	true	false	37489	11
24	true	false	true	true	false	63733	9
25	true	false	true	false	true	50505	9
26	true	false	true	true	false	235848	7
27	true	false	true	true	false	31742	6
28	true	false	true	true	false	32687	5
29	true	false	true	true	false	32121	4
30	true	false	true	false	true	92293	4
31	true	false	true	true	false	94515	2
32	true	true	false	false	false	51491	2147483647
