ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	71123	false
2	true	false	true	true	false	32017	false
3	true	false	true	true	false	28808	false
4	false	false	false	false	false	56408	false
5	true	false	true	true	false	140891	false
6	true	false	true	true	false	34350	false
7	true	false	true	true	false	60215	false
8	true	false	true	true	false	30143	false
9	true	false	true	true	false	29383	false
10	true	false	true	true	false	55797	false
11	true	false	true	true	false	38297	false
12	true	false	true	true	false	74486	false
13	true	true	false	false	false	204205	false
14	true	false	true	true	false	44001	false
15	true	false	true	true	false	68399	false
16	true	false	true	true	false	89676	false
17	true	false	true	true	false	323023	true
18	true	false	true	true	false	29716	false
19	true	false	true	true	false	31463	false
20	true	false	true	true	false	94605	false
21	true	false	true	true	false	90956	false
22	true	false	true	true	false	29540	false
23	true	false	true	false	true	149079	true
24	true	false	true	true	false	118734	false
25	true	false	true	true	false	117233	false
26	true	false	true	true	false	74443	false
27	true	false	true	true	false	31518	false
28	true	false	true	true	false	27420	false
29	true	false	true	true	false	69967	false
30	true	false	true	true	false	82374	false
31	false	false	false	false	false	128849	false
32	true	false	true	true	false	47882	false
