ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	6210	31
2	true	false	true	true	false	6265	30
3	false	false	false	false	false	7200	2147483647
4	false	false	false	false	false	6551	2147483647
5	false	false	false	false	false	8634	2147483647
6	true	false	false	false	false	11916	30
7	true	false	true	true	false	6278	29
8	true	false	true	true	false	5383	27
9	true	false	true	false	true	15902	27
10	true	false	true	true	false	15698	26
11	true	false	true	false	true	13935	26
12	true	false	true	true	false	9542	25
13	true	false	true	true	false	16901	24
14	true	false	true	true	false	13270	22
15	true	false	true	true	false	14694	19
16	true	false	true	false	true	17034	20
17	true	false	true	false	true	15007	19
18	false	false	false	false	false	34976	2147483647
19	true	false	true	true	false	7922	18
20	true	false	true	true	false	8566	17
21	true	false	true	true	false	6775	16
22	true	false	true	true	false	7931	14
23	true	false	true	false	true	16549	14
24	true	false	true	true	false	10719	13
25	true	false	true	true	false	11410	12
26	true	false	true	true	false	6840	11
27	true	true	false	false	false	9856	2147483647
28	true	false	true	true	false	6517	10
29	true	false	true	true	false	9110	9
30	true	false	true	true	false	7200	8
31	true	false	true	false	true	9802	8
32	true	false	true	true	false	6875	7
