ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	0	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	863	0	621	1484	0.007289	openai/gpt-5.1
10	1	808	0	487	1295	0.005880	openai/gpt-5.1
11	1	833	0	503	1336	0.006071	openai/gpt-5.1
12	1	635	0	267	902	0.003464	openai/gpt-5.1
13	1	664	0	268	932	0.003510	openai/gpt-5.1
14	1	791	0	678	1469	0.007769	openai/gpt-5.1
15	1	826	0	709	1535	0.008123	openai/gpt-5.1
16	1	858	0	717	1575	0.008243	openai/gpt-5.1
17	1	869	0	665	1534	0.007736	openai/gpt-5.1
18	1	862	0	709	1571	0.008168	openai/gpt-5.1
19	1	714	0	93	807	0.001823	openai/gpt-5.1
20	1	522	0	150	672	0.002153	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	853	0	621	1474	0.007276	openai/gpt-5.1
24	1	572	0	267	839	0.003385	openai/gpt-5.1
25	1	654	0	268	922	0.003498	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	1	382	0	130	512	0.001778	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	1	0	0	0	0	0.000000	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
