ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	7797	false
2	true	false	true	true	false	7858	false
3	false	false	false	false	false	5019	false
4	false	false	false	false	false	5133	false
5	false	false	false	false	false	5182	false
6	true	false	false	false	false	7156	false
7	true	false	true	true	false	8111	false
8	true	false	true	true	false	13104	false
9	true	false	true	true	false	11409	false
10	true	false	true	true	false	11915	false
11	true	false	true	true	false	12972	false
12	true	false	true	true	false	8830	false
13	true	false	true	true	false	9365	false
14	true	false	true	true	false	14743	false
15	true	false	true	true	false	12187	false
16	true	false	true	true	false	13887	false
17	true	false	true	true	false	15321	false
18	true	false	true	true	false	14557	false
19	true	false	true	true	false	7277	false
20	true	false	true	true	false	7878	false
21	true	false	true	true	false	7556	false
22	true	false	true	true	false	14530	false
23	true	false	true	true	false	12244	false
24	true	false	true	true	false	9204	false
25	true	false	true	true	false	11713	false
26	true	false	true	true	false	9027	false
27	true	true	false	false	false	7410	false
28	true	false	true	true	false	11089	false
29	true	false	true	true	false	8612	false
30	true	false	true	true	false	8857	false
31	true	false	true	false	true	9355	false
32	true	false	true	true	false	20860	false
