ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	11483	116
2	true	false	true	false	true	30057	116
3	true	false	true	false	true	80175	119
4	true	true	false	false	false	55551	2147483647
5	true	false	true	true	false	9726	115
6	true	false	true	false	true	9605	115
7	true	false	true	true	false	12087	114
8	false	false	false	false	false	9431	2147483647
9	true	false	true	true	false	9645	113
10	true	false	true	true	false	10716	112
11	true	false	true	true	false	8789	111
12	true	false	true	true	false	8565	110
13	true	false	true	false	true	20620	111
14	true	false	true	true	false	9290	109
15	true	false	true	true	false	9698	108
16	true	false	true	true	false	9001	107
17	true	false	true	true	false	8516	106
18	true	false	true	false	true	64457	111
19	true	false	true	true	false	9331	105
20	true	true	false	false	false	46857	2147483647
21	true	false	true	true	false	8994	104
22	true	false	true	true	false	26871	103
23	true	true	false	false	false	243111	2147483647
24	true	false	true	true	false	9100	102
25	true	false	true	false	true	9779	103
26	true	true	false	false	false	78453	2147483647
27	true	true	false	false	false	42894	2147483647
28	true	true	false	false	false	112123	2147483647
29	true	false	true	false	true	58327	108
30	true	false	true	false	true	68579	106
31	true	true	false	false	false	51381	2147483647
32	true	false	true	false	true	29404	103
33	true	false	true	false	true	51492	102
34	true	false	true	false	true	463828	106
35	true	false	true	false	true	18114	103
36	true	false	true	false	true	18383	103
37	false	false	false	false	false	258026	2147483647
38	true	true	false	false	false	20629	2147483647
39	true	true	false	false	false	56820	2147483647
40	true	false	true	false	true	9278	107
41	false	false	false	false	false	80598	2147483647
42	true	true	false	false	false	61621	2147483647
43	true	false	true	false	true	17714	102
44	true	false	true	false	true	9533	104
45	true	true	false	false	false	185390	2147483647
46	true	false	true	true	false	27394	101
47	false	false	false	false	false	265698	2147483647
48	true	true	false	false	false	10263	2147483647
49	false	false	false	false	false	256330	2147483647
50	true	false	true	false	true	80590	105
51	true	false	true	false	true	48644	109
52	true	false	true	false	true	8215	198
53	true	false	true	false	true	9827	107
54	false	false	false	false	false	419424	2147483647
55	true	true	false	false	false	103004	2147483647
56	true	false	true	true	false	8811	100
57	true	false	true	false	true	27431	104
58	true	false	true	false	true	18058	100
59	true	true	false	false	false	8850	2147483647
60	true	false	true	false	true	9057	107
61	true	false	true	true	false	8950	99
62	true	true	false	false	false	227228	2147483647
63	false	false	false	false	false	352248	2147483647
64	true	false	true	false	true	147634	99
65	true	true	false	false	false	112872	2147483647
66	true	true	false	false	false	18091	2147483647
67	true	false	true	true	false	26574	98
68	true	false	true	false	true	17105	103
69	true	false	true	false	true	141175	104
70	true	false	true	false	true	17433	98
71	true	false	true	true	false	26138	97
72	true	false	true	true	false	8976	96
73	true	false	true	true	false	9700	95
74	true	false	true	true	false	9306	94
75	true	false	true	false	true	9096	95
76	true	false	true	true	false	18250	93
77	true	false	true	true	false	46725	92
78	true	false	true	true	false	9060	91
79	true	false	true	true	false	35466	89
80	true	false	true	false	true	21628	89
81	true	false	true	true	false	9117	88
82	true	false	true	true	false	9290	87
83	true	false	true	false	true	27044	87
84	true	false	true	true	false	8736	86
85	true	false	true	true	false	27597	85
86	true	false	true	true	false	9110	84
87	true	false	true	true	false	9093	83
88	true	true	false	false	false	33860	2147483647
89	true	false	true	true	false	9742	82
90	true	false	true	true	false	35661	81
91	true	false	true	true	false	8600	80
92	true	true	false	false	false	17766	2147483647
93	false	false	false	false	false	194813	2147483647
94	true	false	true	true	false	8986	79
95	true	false	true	true	false	9586	78
96	true	false	true	true	false	9030	77
97	true	false	true	true	false	8979	75
98	false	false	false	false	false	26633	2147483647
99	true	false	true	true	false	23368	74
100	true	false	true	false	true	39187	74
101	true	false	true	true	false	22582	73
102	true	false	true	true	false	8807	72
103	true	false	true	false	true	8852	74
104	true	false	true	true	false	8579	71
105	false	false	false	false	false	65344	2147483647
106	true	false	true	true	false	8888	70
107	true	false	true	true	false	8970	69
108	false	false	false	false	false	44467	2147483647
109	true	false	true	true	false	25748	68
110	true	false	true	true	false	9344	66
111	true	false	true	false	true	28099	66
112	true	false	true	true	false	18193	65
113	true	false	true	true	false	29655	64
114	true	false	true	true	false	8816	63
115	true	false	true	true	false	74001	62
116	true	false	true	true	false	8595	61
117	true	false	true	true	false	23976	60
